+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | EOSUSDT   |
| No. days                    | 998.666   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.131%    |
| Final balance               | 1709.91   |
| Final equity                | 1709.78   |
| Net PNL + fees              | 209.909   |
| Total gain                  | 14.37%    |
| Average daily gain          | 0.0131%   |
| Loss to profit ratio        | 0.1311    |
| Price action distance mean  | 0.0151269 |
| Price action distance std   | 0.0112461 |
| Price action distance max   | 0.525565  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9655    |
| Equity/balance ratio std    | 0.0004365 |
| No. fills                   | 10770     |
| No. entries                 | 5990      |
| No. closes                  | 4780      |
| No. initial entries         | 3945      |
| No. reentries               | 1815      |
| No. unstuck entries         | 230       |
| No. unstuck closes          | 440       |
| No. normal closes           | 4340      |
| Average n fills per day     | 10.8      |
| Mean hours stuck            | 6.50244   |
| Max hours stuck             | 179.683   |
| PNL sum                     | 215.6     |
| Profit sum                  | 248.1     |
| Loss sum                    | -32.53    |
| Fee sum                     | -5.699    |
| Biggest pos size            | 185.2     |
| Biggest pos cost            | 171.0     |
| Volume quote                | 56994.7   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.302%    |
| Final balance               | 2028.05   |
| Final equity                | 2028.33   |
| Net PNL + fees              | 528.048   |
| Total gain                  | 35.36%    |
| Average daily gain          | 0.0314%   |
| Loss to profit ratio        | 0.01736   |
| Price action distance mean  | 0.0338054 |
| Price action distance std   | 0.0605365 |
| Price action distance max   | 0.488236  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9044    |
| Equity/balance ratio std    | 0.008756  |
| No. fills                   | 16601     |
| No. entries                 | 15886     |
| No. closes                  | 715       |
| No. initial entries         | 362       |
| No. reentries               | 15449     |
| No. unstuck entries         | 75        |
| No. unstuck closes          | 53        |
| No. normal closes           | 662       |
| Average n fills per day     | 16.6      |
| Mean hours stuck            | 4.40183   |
| Max hours stuck             | 573.05    |
| PNL sum                     | 530.3     |
| Profit sum                  | 539.7     |
| Loss sum                    | -9.368    |
| Fee sum                     | -2.285    |
| Biggest pos size            | 182.1     |
| Biggest pos cost            | 202.0     |
| Volume quote                | 22847.2   |
+-----------------------------+-----------+
