+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 710.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.54%     |
| Final balance               | 2201.42   |
| Final equity                | 2201.3    |
| Net PNL + fees              | 701.418   |
| Total gain                  | 48.09%    |
| Average daily gain          | 0.0542%   |
| Loss to profit ratio        | 0.1595    |
| Price action distance mean  | 0.0129074 |
| Price action distance std   | 0.0130622 |
| Price action distance max   | 0.279198  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.978     |
| Equity/balance ratio std    | 0.001024  |
| No. fills                   | 22854     |
| No. entries                 | 11603     |
| No. closes                  | 11251     |
| No. initial entries         | 7259      |
| No. reentries               | 3233      |
| No. unstuck entries         | 1111      |
| No. unstuck closes          | 1618      |
| No. normal closes           | 9633      |
| Average n fills per day     | 32.2      |
| Mean hours stuck            | 2.02265   |
| Max hours stuck             | 101.417   |
| PNL sum                     | 721.3     |
| Profit sum                  | 858.1     |
| Loss sum                    | -136.8    |
| Fee sum                     | -19.86    |
| Biggest pos size            | 12589.0   |
| Biggest pos cost            | 220.2     |
| Volume quote                | 198631.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.131%    |
| Final balance               | 1646.23   |
| Final equity                | 1646.18   |
| Net PNL + fees              | 146.227   |
| Total gain                  | 9.826%    |
| Average daily gain          | 0.0132%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0299304 |
| Price action distance std   | 0.0311195 |
| Price action distance max   | 0.273077  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.97      |
| Equity/balance ratio std    | 0.00134   |
| No. fills                   | 1700      |
| No. entries                 | 993       |
| No. closes                  | 707       |
| No. initial entries         | 667       |
| No. reentries               | 313       |
| No. unstuck entries         | 13        |
| No. unstuck closes          | 0         |
| No. normal closes           | 707       |
| Average n fills per day     | 2.39      |
| Mean hours stuck            | 12.4594   |
| Max hours stuck             | 348.567   |
| PNL sum                     | 147.4     |
| Profit sum                  | 147.4     |
| Loss sum                    | 0.0       |
| Fee sum                     | -1.164    |
| Biggest pos size            | 4090.0    |
| Biggest pos cost            | 164.2     |
| Volume quote                | 11643.4   |
+-----------------------------+-----------+
