+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOGEUSDT  |
| No. days                    | 814.624   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.432%    |
| Final balance               | 2132.74   |
| Final equity                | 2132.27   |
| Net PNL + fees              | 632.743   |
| Total gain                  | 43.45%    |
| Average daily gain          | 0.0434%   |
| Loss to profit ratio        | 0.1954    |
| Price action distance mean  | 0.0117449 |
| Price action distance std   | 0.0154303 |
| Price action distance max   | 0.870892  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9533    |
| Equity/balance ratio std    | 0.001238  |
| No. fills                   | 23394     |
| No. entries                 | 10291     |
| No. closes                  | 13103     |
| No. initial entries         | 4803      |
| No. reentries               | 3651      |
| No. unstuck entries         | 1837      |
| No. unstuck closes          | 6227      |
| No. normal closes           | 6876      |
| Average n fills per day     | 28.7      |
| Mean hours stuck            | 1.65757   |
| Max hours stuck             | 282.3     |
| PNL sum                     | 651.8     |
| Profit sum                  | 810.0     |
| Loss sum                    | -158.2    |
| Fee sum                     | -19.01    |
| Biggest pos size            | 46305.0   |
| Biggest pos cost            | 213.6     |
| Volume quote                | 190076.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0675%   |
| Final balance               | 1584.83   |
| Final equity                | 1584.82   |
| Net PNL + fees              | 84.8275   |
| Total gain                  | 5.758%    |
| Average daily gain          | 0.00712%  |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0254377 |
| Price action distance std   | 0.0325632 |
| Price action distance max   | 0.551582  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9162    |
| Equity/balance ratio std    | 0.00185   |
| No. fills                   | 5309      |
| No. entries                 | 3011      |
| No. closes                  | 2298      |
| No. initial entries         | 2255      |
| No. reentries               | 756       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 2298      |
| Average n fills per day     | 6.52      |
| Mean hours stuck            | 6.48457   |
| Max hours stuck             | 789.083   |
| PNL sum                     | 86.37     |
| Profit sum                  | 86.37     |
| Loss sum                    | 0.0       |
| Fee sum                     | -1.543    |
| Biggest pos size            | 14274.0   |
| Biggest pos cost            | 154.6     |
| Volume quote                | 15428.9   |
+-----------------------------+-----------+
