+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOGEUSDT  |
| No. days                    | 814.624   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.46%     |
| Final balance               | 2181.0    |
| Final equity                | 2180.3    |
| Net PNL + fees              | 680.995   |
| Total gain                  | 46.85%    |
| Average daily gain          | 0.0458%   |
| Loss to profit ratio        | 0.1493    |
| Price action distance mean  | 0.0118842 |
| Price action distance std   | 0.0133449 |
| Price action distance max   | 0.866415  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9535    |
| Equity/balance ratio std    | 0.001068  |
| No. fills                   | 27506     |
| No. entries                 | 13190     |
| No. closes                  | 14316     |
| No. initial entries         | 7614      |
| No. reentries               | 3387      |
| No. unstuck entries         | 2189      |
| No. unstuck closes          | 5810      |
| No. normal closes           | 8506      |
| Average n fills per day     | 33.8      |
| Mean hours stuck            | 1.82993   |
| Max hours stuck             | 283.15    |
| PNL sum                     | 702.7     |
| Profit sum                  | 826.1     |
| Loss sum                    | -123.4    |
| Fee sum                     | -21.73    |
| Biggest pos size            | 54479.0   |
| Biggest pos cost            | 218.6     |
| Volume quote                | 217342.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.115%    |
| Final balance               | 1647.72   |
| Final equity                | 1647.71   |
| Net PNL + fees              | 147.724   |
| Total gain                  | 10.14%    |
| Average daily gain          | 0.0116%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0203607 |
| Price action distance std   | 0.0195886 |
| Price action distance max   | 0.321977  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9525    |
| Equity/balance ratio std    | 0.000726  |
| No. fills                   | 11345     |
| No. entries                 | 6203      |
| No. closes                  | 5142      |
| No. initial entries         | 5072      |
| No. reentries               | 967       |
| No. unstuck entries         | 164       |
| No. unstuck closes          | 56        |
| No. normal closes           | 5086      |
| Average n fills per day     | 13.9      |
| Mean hours stuck            | 3.90239   |
| Max hours stuck             | 789.083   |
| PNL sum                     | 152.0     |
| Profit sum                  | 152.0     |
| Loss sum                    | 0.0       |
| Fee sum                     | -4.311    |
| Biggest pos size            | 41645.0   |
| Biggest pos cost            | 161.9     |
| Volume quote                | 43106.1   |
+-----------------------------+-----------+
