+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 710.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.479%    |
| Final balance               | 2107.47   |
| Final equity                | 2107.27   |
| Net PNL + fees              | 607.467   |
| Total gain                  | 42.1%     |
| Average daily gain          | 0.0481%   |
| Loss to profit ratio        | 0.1157    |
| Price action distance mean  | 0.0161682 |
| Price action distance std   | 0.0170787 |
| Price action distance max   | 0.505621  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9662    |
| Equity/balance ratio std    | 0.001379  |
| No. fills                   | 22813     |
| No. entries                 | 12018     |
| No. closes                  | 10795     |
| No. initial entries         | 8592      |
| No. reentries               | 2790      |
| No. unstuck entries         | 636       |
| No. unstuck closes          | 322       |
| No. normal closes           | 10473     |
| Average n fills per day     | 32.1      |
| Mean hours stuck            | 2.03909   |
| Max hours stuck             | 109.2     |
| PNL sum                     | 631.5     |
| Profit sum                  | 714.1     |
| Loss sum                    | -82.6     |
| Fee sum                     | -24.03    |
| Biggest pos size            | 12568.0   |
| Biggest pos cost            | 210.8     |
| Volume quote                | 240269.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.106%    |
| Final balance               | 1617.67   |
| Final equity                | 1617.65   |
| Net PNL + fees              | 117.674   |
| Total gain                  | 8.153%    |
| Average daily gain          | 0.0108%   |
| Loss to profit ratio        | 0.06904   |
| Price action distance mean  | 0.0276889 |
| Price action distance std   | 0.0271148 |
| Price action distance max   | 0.236472  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9711    |
| Equity/balance ratio std    | 0.00154   |
| No. fills                   | 12331     |
| No. entries                 | 6720      |
| No. closes                  | 5611      |
| No. initial entries         | 5316      |
| No. reentries               | 1314      |
| No. unstuck entries         | 90        |
| No. unstuck closes          | 5         |
| No. normal closes           | 5606      |
| Average n fills per day     | 17.4      |
| Mean hours stuck            | 2.44369   |
| Max hours stuck             | 304.95    |
| PNL sum                     | 122.3     |
| Profit sum                  | 131.4     |
| Loss sum                    | -9.069    |
| Fee sum                     | -4.613    |
| Biggest pos size            | 9994.0    |
| Biggest pos cost            | 162.5     |
| Volume quote                | 46132.8   |
+-----------------------------+-----------+
