+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | NEARUSDT  |
| No. days                    | 717.666   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.254%    |
| Final balance               | 1799.43   |
| Final equity                | 1799.29   |
| Net PNL + fees              | 299.426   |
| Total gain                  | 20.6%     |
| Average daily gain          | 0.0254%   |
| Loss to profit ratio        | 0.1143    |
| Price action distance mean  | 0.0141448 |
| Price action distance std   | 0.013872  |
| Price action distance max   | 0.537348  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9649    |
| Equity/balance ratio std    | 0.0006677 |
| No. fills                   | 14418     |
| No. entries                 | 8479      |
| No. closes                  | 5939      |
| No. initial entries         | 4963      |
| No. reentries               | 3186      |
| No. unstuck entries         | 330       |
| No. unstuck closes          | 40        |
| No. normal closes           | 5899      |
| Average n fills per day     | 20.1      |
| Mean hours stuck            | 1.48087   |
| Max hours stuck             | 72.0333   |
| PNL sum                     | 309.0     |
| Profit sum                  | 348.9     |
| Loss sum                    | -39.89    |
| Fee sum                     | -9.605    |
| Biggest pos size            | 276.0     |
| Biggest pos cost            | 180.0     |
| Volume quote                | 96050.0   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.197%    |
| Final balance               | 1727.87   |
| Final equity                | 1727.87   |
| Net PNL + fees              | 227.868   |
| Total gain                  | 15.48%    |
| Average daily gain          | 0.0199%   |
| Loss to profit ratio        | 0.001796  |
| Price action distance mean  | 0.0205031 |
| Price action distance std   | 0.0223852 |
| Price action distance max   | 0.333567  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9496    |
| Equity/balance ratio std    | 0.001427  |
| No. fills                   | 5686      |
| No. entries                 | 2953      |
| No. closes                  | 2733      |
| No. initial entries         | 2096      |
| No. reentries               | 743       |
| No. unstuck entries         | 114       |
| No. unstuck closes          | 2         |
| No. normal closes           | 2731      |
| Average n fills per day     | 7.92      |
| Mean hours stuck            | 5.12009   |
| Max hours stuck             | 229.35    |
| PNL sum                     | 232.3     |
| Profit sum                  | 232.7     |
| Loss sum                    | -0.418    |
| Fee sum                     | -4.395    |
| Biggest pos size            | 215.0     |
| Biggest pos cost            | 172.9     |
| Volume quote                | 43949.6   |
+-----------------------------+-----------+
