+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | OPUSDT    |
| No. days                    | 123.415   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.546%    |
| Final balance               | 1604.61   |
| Final equity                | 1603.43   |
| Net PNL + fees              | 104.608   |
| Total gain                  | 7.23%     |
| Average daily gain          | 0.0545%   |
| Loss to profit ratio        | 0.09019   |
| Price action distance mean  | 0.01573   |
| Price action distance std   | 0.0173851 |
| Price action distance max   | 0.158305  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9863    |
| Equity/balance ratio std    | 0.001539  |
| No. fills                   | 4321      |
| No. entries                 | 2219      |
| No. closes                  | 2102      |
| No. initial entries         | 1478      |
| No. reentries               | 645       |
| No. unstuck entries         | 96        |
| No. unstuck closes          | 224       |
| No. normal closes           | 1878      |
| Average n fills per day     | 35.0      |
| Mean hours stuck            | 1.15566   |
| Max hours stuck             | 84.6667   |
| PNL sum                     | 108.4     |
| Profit sum                  | 119.2     |
| Loss sum                    | -10.75    |
| Fee sum                     | -3.835    |
| Biggest pos size            | 365.1     |
| Biggest pos cost            | 161.2     |
| Volume quote                | 38349.5   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.142%    |
| Final balance               | 1526.43   |
| Final equity                | 1526.38   |
| Net PNL + fees              | 26.4281   |
| Total gain                  | 1.82%     |
| Average daily gain          | 0.014%    |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.042344  |
| Price action distance std   | 0.0356691 |
| Price action distance max   | 0.233168  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9898    |
| Equity/balance ratio std    | 0.0007939 |
| No. fills                   | 1714      |
| No. entries                 | 877       |
| No. closes                  | 837       |
| No. initial entries         | 809       |
| No. reentries               | 68        |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 837       |
| Average n fills per day     | 13.9      |
| Mean hours stuck            | 3.71639   |
| Max hours stuck             | 179.067   |
| PNL sum                     | 27.31     |
| Profit sum                  | 27.31     |
| Loss sum                    | 0.0       |
| Fee sum                     | -0.8776   |
| Biggest pos size            | 93.2      |
| Biggest pos cost            | 62.58     |
| Volume quote                | 8775.88   |
+-----------------------------+-----------+
