+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | SANDUSDT  |
| No. days                    | 615.708   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.373%    |
| Final balance               | 1887.2    |
| Final equity                | 1886.37   |
| Net PNL + fees              | 387.201   |
| Total gain                  | 26.77%    |
| Average daily gain          | 0.0375%   |
| Loss to profit ratio        | 0.05482   |
| Price action distance mean  | 0.0342011 |
| Price action distance std   | 0.047111  |
| Price action distance max   | 1.01314   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9496    |
| Equity/balance ratio std    | 0.003153  |
| No. fills                   | 17919     |
| No. entries                 | 9570      |
| No. closes                  | 8349      |
| No. initial entries         | 7356      |
| No. reentries               | 2172      |
| No. unstuck entries         | 42        |
| No. unstuck closes          | 66        |
| No. normal closes           | 8283      |
| Average n fills per day     | 29.1      |
| Mean hours stuck            | 1.87692   |
| Max hours stuck             | 198.817   |
| PNL sum                     | 401.6     |
| Profit sum                  | 424.8     |
| Loss sum                    | -23.29    |
| Fee sum                     | -14.35    |
| Biggest pos size            | 1051.0    |
| Biggest pos cost            | 189.2     |
| Volume quote                | 143539.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.082%    |
| Final balance               | 1577.64   |
| Final equity                | 1577.63   |
| Net PNL + fees              | 77.6384   |
| Total gain                  | 5.432%    |
| Average daily gain          | 0.00827%  |
| Loss to profit ratio        | 0.0348    |
| Price action distance mean  | 0.0374867 |
| Price action distance std   | 0.0384446 |
| Price action distance max   | 0.366792  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.961     |
| Equity/balance ratio std    | 0.001718  |
| No. fills                   | 9641      |
| No. entries                 | 5018      |
| No. closes                  | 4623      |
| No. initial entries         | 4524      |
| No. reentries               | 492       |
| No. unstuck entries         | 2         |
| No. unstuck closes          | 7         |
| No. normal closes           | 4616      |
| Average n fills per day     | 15.7      |
| Mean hours stuck            | 2.26745   |
| Max hours stuck             | 313.417   |
| PNL sum                     | 81.49     |
| Profit sum                  | 84.43     |
| Loss sum                    | -2.938    |
| Fee sum                     | -3.849    |
| Biggest pos size            | 544.0     |
| Biggest pos cost            | 162.1     |
| Volume quote                | 38489.6   |
+-----------------------------+-----------+
