+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | binance    |
| Market type                 | futures    |
| Symbol                      | MATICUSDT  |
| No. days                    | 761.707    |
| Starting balance            | 1500.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.369%     |
| Final balance               | 3026.44    |
| Final equity                | 3026.44    |
| Net PNL + fees              | 1526.44    |
| Total gain                  | 103.9%     |
| Average daily gain          | 0.0927%    |
| Loss to profit ratio        | 0.0        |
| Price action distance mean  | 0.00911975 |
| Price action distance std   | 0.00920185 |
| Price action distance max   | 0.259838   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9483     |
| Equity/balance ratio std    | 0.001736   |
| No. fills                   | 27507      |
| No. entries                 | 17025      |
| No. closes                  | 10482      |
| No. initial entries         | 10591      |
| No. reentries               | 6434       |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 10482      |
| Average n fills per day     | 36.1       |
| Mean hours stuck            | 1.66145    |
| Max hours stuck             | 103.75     |
| PNL sum                     | 1559.0     |
| Profit sum                  | 1559.0     |
| Loss sum                    | 0.0        |
| Fee sum                     | -32.59     |
| Biggest pos size            | 29565.0    |
| Biggest pos cost            | 754.7      |
| Volume quote                | 325907.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.203%     |
| Final balance               | 1804.99    |
| Final equity                | 1804.85    |
| Net PNL + fees              | 304.986    |
| Total gain                  | 20.68%     |
| Average daily gain          | 0.0244%    |
| Loss to profit ratio        | 0.0        |
| Price action distance mean  | 0.0162753  |
| Price action distance std   | 0.0137919  |
| Price action distance max   | 0.242945   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9614     |
| Equity/balance ratio std    | 0.001409   |
| No. fills                   | 9517       |
| No. entries                 | 5663       |
| No. closes                  | 3854       |
| No. initial entries         | 3622       |
| No. reentries               | 2041       |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 3854       |
| Average n fills per day     | 12.5       |
| Mean hours stuck            | 4.03286    |
| Max hours stuck             | 141.7      |
| PNL sum                     | 310.2      |
| Profit sum                  | 310.2      |
| Loss sum                    | 0.0        |
| Fee sum                     | -5.193     |
| Biggest pos size            | 12297.0    |
| Biggest pos cost            | 217.2      |
| Volume quote                | 51927.0    |
+-----------------------------+------------+
