+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | SUSHIUSDT |
| No. days                    | 809.708   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.182%    |
| Final balance               | 2166.1    |
| Final equity                | 2166.11   |
| Net PNL + fees              | 666.104   |
| Total gain                  | 45.1%     |
| Average daily gain          | 0.0455%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0138323 |
| Price action distance std   | 0.0107772 |
| Price action distance max   | 0.854896  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8845    |
| Equity/balance ratio std    | 0.000633  |
| No. fills                   | 12922     |
| No. entries                 | 7967      |
| No. closes                  | 4955      |
| No. initial entries         | 5011      |
| No. reentries               | 2956      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 4955      |
| Average n fills per day     | 16.0      |
| Mean hours stuck            | 2.4549    |
| Max hours stuck             | 82.2167   |
| PNL sum                     | 676.4     |
| Profit sum                  | 676.4     |
| Loss sum                    | 0.0       |
| Fee sum                     | -10.34    |
| Biggest pos size            | 553.5     |
| Biggest pos cost            | 537.9     |
| Volume quote                | 103420.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.224%    |
| Final balance               | 1865.49   |
| Final equity                | 1865.49   |
| Net PNL + fees              | 365.494   |
| Total gain                  | 24.81%    |
| Average daily gain          | 0.0272%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0119139 |
| Price action distance std   | 0.0130317 |
| Price action distance max   | 0.190925  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9715    |
| Equity/balance ratio std    | 0.001415  |
| No. fills                   | 13199     |
| No. entries                 | 7823      |
| No. closes                  | 5376      |
| No. initial entries         | 5386      |
| No. reentries               | 2437      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 5376      |
| Average n fills per day     | 16.3      |
| Mean hours stuck            | 1.78235   |
| Max hours stuck             | 112.783   |
| PNL sum                     | 372.1     |
| Profit sum                  | 372.1     |
| Loss sum                    | 0.0       |
| Fee sum                     | -6.619    |
| Biggest pos size            | 260.5     |
| Biggest pos cost            | 222.1     |
| Volume quote                | 66190.3   |
+-----------------------------+-----------+
