+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | ATOMUSDT  |
| No. days                    | 1046.0    |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.124%    |
| Final balance               | 2074.78   |
| Final equity                | 2074.87   |
| Net PNL + fees              | 574.775   |
| Total gain                  | 38.87%    |
| Average daily gain          | 0.0316%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0174469 |
| Price action distance std   | 0.0188305 |
| Price action distance max   | 0.771478  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8896    |
| Equity/balance ratio std    | 0.002223  |
| No. fills                   | 22593     |
| No. entries                 | 7346      |
| No. closes                  | 15247     |
| No. initial entries         | 3997      |
| No. reentries               | 3349      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 15247     |
| Average n fills per day     | 21.6      |
| Mean hours stuck            | 1.99825   |
| Max hours stuck             | 130.417   |
| PNL sum                     | 583.1     |
| Profit sum                  | 583.1     |
| Loss sum                    | 0.0       |
| Fee sum                     | -8.339    |
| Biggest pos size            | 212.1     |
| Biggest pos cost            | 497.9     |
| Volume quote                | 83390.6   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.15%     |
| Final balance               | 1810.65   |
| Final equity                | 1810.64   |
| Net PNL + fees              | 310.653   |
| Total gain                  | 20.98%    |
| Average daily gain          | 0.0183%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0234093 |
| Price action distance std   | 0.0240429 |
| Price action distance max   | 0.239887  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9636    |
| Equity/balance ratio std    | 0.003201  |
| No. fills                   | 11220     |
| No. entries                 | 4922      |
| No. closes                  | 6298      |
| No. initial entries         | 3233      |
| No. reentries               | 1689      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 6298      |
| Average n fills per day     | 10.7      |
| Mean hours stuck            | 5.47405   |
| Max hours stuck             | 246.983   |
| PNL sum                     | 314.8     |
| Profit sum                  | 314.8     |
| Loss sum                    | 0.0       |
| Fee sum                     | -4.101    |
| Biggest pos size            | 82.8      |
| Biggest pos cost            | 222.2     |
| Volume quote                | 41011.1   |
+-----------------------------+-----------+
