+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | EOSUSDT   |
| No. days                    | 1084.67   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0927%   |
| Final balance               | 1928.7    |
| Final equity                | 1927.3    |
| Net PNL + fees              | 428.697   |
| Total gain                  | 29.07%    |
| Average daily gain          | 0.025%    |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0639945 |
| Price action distance std   | 0.151064  |
| Price action distance max   | 1.02982   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8739    |
| Equity/balance ratio std    | 0.02419   |
| No. fills                   | 30197     |
| No. entries                 | 6999      |
| No. closes                  | 23198     |
| No. initial entries         | 3352      |
| No. reentries               | 3647      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 23198     |
| Average n fills per day     | 27.8      |
| Mean hours stuck            | 1.49506   |
| Max hours stuck             | 2465.3    |
| PNL sum                     | 436.0     |
| Profit sum                  | 436.0     |
| Loss sum                    | 0.0       |
| Fee sum                     | -7.339    |
| Biggest pos size            | 317.3     |
| Biggest pos cost            | 471.0     |
| Volume quote                | 73391.1   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.14%     |
| Final balance               | 1799.28   |
| Final equity                | 1799.0    |
| Net PNL + fees              | 299.277   |
| Total gain                  | 20.17%    |
| Average daily gain          | 0.0221%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0560892 |
| Price action distance std   | 0.101814  |
| Price action distance max   | 0.704324  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.713     |
| Equity/balance ratio std    | 0.02356   |
| No. fills                   | 14669     |
| No. entries                 | 5445      |
| No. closes                  | 9224      |
| No. initial entries         | 1571      |
| No. reentries               | 3874      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 9224      |
| Average n fills per day     | 13.5      |
| Mean hours stuck            | 2.96966   |
| Max hours stuck             | 1294.35   |
| PNL sum                     | 302.6     |
| Profit sum                  | 302.6     |
| Loss sum                    | 0.0       |
| Fee sum                     | -3.328    |
| Biggest pos size            | 158.1     |
| Biggest pos cost            | 212.7     |
| Volume quote                | 33283.3   |
+-----------------------------+-----------+
