+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| No. days                    | 676.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.259%    |
| Final balance               | 8629.82   |
| Final equity                | 8618.54   |
| Net PNL + fees              | 7129.82   |
| Total gain                  | 495.5%    |
| Average daily gain          | 0.273%    |
| DG mean std ratio           | 0.1706    |
| Price action distance mean  | 0.025088  |
| Price action distance std   | 0.0317502 |
| Price action distance max   | 0.563181  |
| Closest bankruptcy          | 99.91%    |
| Lowest equity/balance ratio | 0.6401    |
| Equity/balance ratio std    | 0.01747   |
| No. fills                   | 41470     |
| No. entries                 | 26708     |
| No. closes                  | 14762     |
| No. initial entries         | 14404     |
| No. reentries               | 12304     |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 14762     |
| Average n fills per day     | 61.3      |
| Mean hours stuck            | 0.397206  |
| Max hours stuck             | 224.45    |
| PNL sum                     | 7433.0    |
| Profit sum                  | 7433.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -303.1    |
| Biggest pos size            | 447.3     |
| Biggest pos cost            | 7991.0    |
| Volume quote                | 3030750.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.163%    |
| Final balance               | 1675.21   |
| Final equity                | 1673.8    |
| Net PNL + fees              | 175.211   |
| Total gain                  | 12.2%     |
| Average daily gain          | 0.0165%   |
| DG mean std ratio           | 0.06982   |
| Price action distance mean  | 0.0324784 |
| Price action distance std   | 0.0319028 |
| Price action distance max   | 0.372003  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9425    |
| Equity/balance ratio std    | 0.002907  |
| No. fills                   | 18079     |
| No. entries                 | 9996      |
| No. closes                  | 8083      |
| No. initial entries         | 7761      |
| No. reentries               | 2231      |
| No. unstuck entries         | 4         |
| No. unstuck closes          | 10        |
| No. normal closes           | 8073      |
| Average n fills per day     | 26.7      |
| Mean hours stuck            | 0.91344   |
| Max hours stuck             | 268.167   |
| PNL sum                     | 183.1     |
| Profit sum                  | 187.8     |
| Loss sum                    | -4.683    |
| Fee sum                     | -7.863    |
| Biggest pos size            | 22.3      |
| Biggest pos cost            | 170.2     |
| Volume quote                | 78630.1   |
+-----------------------------+-----------+
