+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | FLOWUSDT  |
| No. days                    | 171.853   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.187%    |
| Final balance               | 2068.46   |
| Final equity                | 2065.41   |
| Net PNL + fees              | 568.463   |
| Total gain                  | 39.12%    |
| Average daily gain          | 0.192%    |
| DG mean std ratio           | 0.1812    |
| Price action distance mean  | 0.0165965 |
| Price action distance std   | 0.017764  |
| Price action distance max   | 0.190331  |
| Closest bankruptcy          | 99.97%    |
| Lowest equity/balance ratio | 0.9016    |
| Equity/balance ratio std    | 0.005691  |
| No. fills                   | 5047      |
| No. entries                 | 3315      |
| No. closes                  | 1732      |
| No. initial entries         | 1715      |
| No. reentries               | 1600      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1732      |
| Average n fills per day     | 29.4      |
| Mean hours stuck            | 0.824893  |
| Max hours stuck             | 73.0333   |
| PNL sum                     | 586.8     |
| Profit sum                  | 586.8     |
| Loss sum                    | 0.0       |
| Fee sum                     | -18.29    |
| Biggest pos size            | 1209.4    |
| Biggest pos cost            | 1881.0    |
| Volume quote                | 182916.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.682%    |
| Final balance               | 1686.32   |
| Final equity                | 1666.43   |
| Net PNL + fees              | 186.321   |
| Total gain                  | 12.77%    |
| Average daily gain          | 0.0607%   |
| DG mean std ratio           | 0.1633    |
| Price action distance mean  | 0.0584308 |
| Price action distance std   | 0.0577029 |
| Price action distance max   | 0.254061  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9659    |
| Equity/balance ratio std    | 0.006243  |
| No. fills                   | 7212      |
| No. entries                 | 6029      |
| No. closes                  | 1183      |
| No. initial entries         | 1075      |
| No. reentries               | 4952      |
| No. unstuck entries         | 2         |
| No. unstuck closes          | 4         |
| No. normal closes           | 1179      |
| Average n fills per day     | 42.0      |
| Mean hours stuck            | 0.662033  |
| Max hours stuck             | 209.283   |
| PNL sum                     | 191.6     |
| Profit sum                  | 193.6     |
| Loss sum                    | -1.973    |
| Fee sum                     | -5.257    |
| Biggest pos size            | 115.3     |
| Biggest pos cost            | 168.9     |
| Volume quote                | 52567.0   |
+-----------------------------+-----------+
