+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | THETAUSDT |
| No. days                    | 795.665   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.214%    |
| Final balance               | 8245.84   |
| Final equity                | 8222.4    |
| Net PNL + fees              | 6745.84   |
| Total gain                  | 465.4%    |
| Average daily gain          | 0.226%    |
| DG mean std ratio           | 0.1335    |
| Price action distance mean  | 0.0144646 |
| Price action distance std   | 0.0198137 |
| Price action distance max   | 0.448896  |
| Closest bankruptcy          | 99.98%    |
| Lowest equity/balance ratio | 0.6901    |
| Equity/balance ratio std    | 0.007381  |
| No. fills                   | 26235     |
| No. entries                 | 15193     |
| No. closes                  | 11042     |
| No. initial entries         | 10765     |
| No. reentries               | 4428      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 11042     |
| Average n fills per day     | 33.0      |
| Mean hours stuck            | 0.735648  |
| Max hours stuck             | 157.8     |
| PNL sum                     | 6982.0    |
| Profit sum                  | 6982.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -235.7    |
| Biggest pos size            | 6972.5    |
| Biggest pos cost            | 7192.0    |
| Volume quote                | 2357050.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.145%    |
| Final balance               | 1683.77   |
| Final equity                | 1683.75   |
| Net PNL + fees              | 183.766   |
| Total gain                  | 12.69%    |
| Average daily gain          | 0.0145%   |
| DG mean std ratio           | 0.1049    |
| Price action distance mean  | 0.0208583 |
| Price action distance std   | 0.0185448 |
| Price action distance max   | 0.2283    |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9774    |
| Equity/balance ratio std    | 0.001329  |
| No. fills                   | 23769     |
| No. entries                 | 13361     |
| No. closes                  | 10408     |
| No. initial entries         | 10088     |
| No. reentries               | 3273      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 10408     |
| Average n fills per day     | 29.9      |
| Mean hours stuck            | 0.814292  |
| Max hours stuck             | 198.85    |
| PNL sum                     | 190.3     |
| Profit sum                  | 190.3     |
| Loss sum                    | 0.0       |
| Fee sum                     | -6.572    |
| Biggest pos size            | 368.3     |
| Biggest pos cost            | 164.7     |
| Volume quote                | 65715.9   |
+-----------------------------+-----------+
