+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | ADAUSDT   |
| No. days                    | 891.665   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.193%    |
| Final balance               | 8386.23   |
| Final equity                | 8379.78   |
| Net PNL + fees              | 6886.23   |
| Total gain                  | 471.8%    |
| Average daily gain          | 0.2%      |
| DG mean std ratio           | 0.1725    |
| Price action distance mean  | 0.018137  |
| Price action distance std   | 0.0192193 |
| Price action distance max   | 0.229042  |
| Closest bankruptcy          | 99.97%    |
| Lowest equity/balance ratio | 0.8435    |
| Equity/balance ratio std    | 0.00844   |
| No. fills                   | 18026     |
| No. entries                 | 10178     |
| No. closes                  | 7848      |
| No. initial entries         | 7404      |
| No. reentries               | 2774      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 7848      |
| Average n fills per day     | 20.2      |
| Mean hours stuck            | 1.2137    |
| Max hours stuck             | 350.95    |
| PNL sum                     | 7077.0    |
| Profit sum                  | 7077.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -190.8    |
| Biggest pos size            | 58825.0   |
| Biggest pos cost            | 7556.0    |
| Volume quote                | 1908300.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.132%    |
| Final balance               | 1687.51   |
| Final equity                | 1687.5    |
| Net PNL + fees              | 187.513   |
| Total gain                  | 12.62%    |
| Average daily gain          | 0.0133%   |
| DG mean std ratio           | 0.1118    |
| Price action distance mean  | 0.0207515 |
| Price action distance std   | 0.0185639 |
| Price action distance max   | 0.177883  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9783    |
| Equity/balance ratio std    | 0.001419  |
| No. fills                   | 2981      |
| No. entries                 | 1579      |
| No. closes                  | 1402      |
| No. initial entries         | 896       |
| No. reentries               | 683       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1402      |
| Average n fills per day     | 3.34      |
| Mean hours stuck            | 8.16792   |
| Max hours stuck             | 329.067   |
| PNL sum                     | 189.4     |
| Profit sum                  | 189.4     |
| Loss sum                    | 0.0       |
| Fee sum                     | -1.843    |
| Biggest pos size            | 4871.0    |
| Biggest pos cost            | 168.2     |
| Volume quote                | 18430.3   |
+-----------------------------+-----------+
