+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | DOTUSDT   |
| No. days                    | 687.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.228%    |
| Final balance               | 1754.74   |
| Final equity                | 1754.56   |
| Net PNL + fees              | 254.745   |
| Total gain                  | 17.73%    |
| Average daily gain          | 0.0228%   |
| DG mean std ratio           | 0.2255    |
| Price action distance mean  | 0.0126337 |
| Price action distance std   | 0.0188354 |
| Price action distance max   | 0.925485  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.954     |
| Equity/balance ratio std    | 0.0007653 |
| No. fills                   | 22343     |
| No. entries                 | 13304     |
| No. closes                  | 9039      |
| No. initial entries         | 8266      |
| No. reentries               | 5038      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 9039      |
| Average n fills per day     | 32.5      |
| Mean hours stuck            | 0.765146  |
| Max hours stuck             | 135.133   |
| PNL sum                     | 266.0     |
| Profit sum                  | 266.0     |
| Loss sum                    | 0.0       |
| Fee sum                     | -11.25    |
| Biggest pos size            | 37.9      |
| Biggest pos cost            | 174.6     |
| Volume quote                | 112474.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.19%     |
| Final balance               | 1709.1    |
| Final equity                | 1709.07   |
| Net PNL + fees              | 209.098   |
| Total gain                  | 14.57%    |
| Average daily gain          | 0.0191%   |
| DG mean std ratio           | 0.1069    |
| Price action distance mean  | 0.0183463 |
| Price action distance std   | 0.0222812 |
| Price action distance max   | 0.198515  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9762    |
| Equity/balance ratio std    | 0.002502  |
| No. fills                   | 25110     |
| No. entries                 | 14372     |
| No. closes                  | 10738     |
| No. initial entries         | 10116     |
| No. reentries               | 4256      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 10738     |
| Average n fills per day     | 36.5      |
| Mean hours stuck            | 0.673205  |
| Max hours stuck             | 326.167   |
| PNL sum                     | 218.5     |
| Profit sum                  | 218.5     |
| Loss sum                    | 0.0       |
| Fee sum                     | -9.379    |
| Biggest pos size            | 36.7      |
| Biggest pos cost            | 170.5     |
| Volume quote                | 93791.0   |
+-----------------------------+-----------+
