+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | SANDUSDT  |
| No. days                    | 531.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.332%    |
| Final balance               | 8732.21   |
| Final equity                | 8686.69   |
| Net PNL + fees              | 7232.21   |
| Total gain                  | 489.4%    |
| Average daily gain          | 0.341%    |
| DG mean std ratio           | 0.234     |
| Price action distance mean  | 0.0235433 |
| Price action distance std   | 0.0225445 |
| Price action distance max   | 0.514321  |
| Closest bankruptcy          | 99.82%    |
| Lowest equity/balance ratio | 0.6603    |
| Equity/balance ratio std    | 0.01567   |
| No. fills                   | 7767      |
| No. entries                 | 4503      |
| No. closes                  | 3264      |
| No. initial entries         | 3098      |
| No. reentries               | 1405      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 3264      |
| Average n fills per day     | 14.6      |
| Mean hours stuck            | 1.65878   |
| Max hours stuck             | 134.3     |
| PNL sum                     | 7341.0    |
| Profit sum                  | 7341.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -108.3    |
| Biggest pos size            | 16563.0   |
| Biggest pos cost            | 8258.0    |
| Volume quote                | 1083480.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.259%    |
| Final balance               | 1721.27   |
| Final equity                | 1721.27   |
| Net PNL + fees              | 221.269   |
| Total gain                  | 14.88%    |
| Average daily gain          | 0.026%    |
| DG mean std ratio           | 0.1786    |
| Price action distance mean  | 0.0239516 |
| Price action distance std   | 0.021944  |
| Price action distance max   | 0.261436  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9646    |
| Equity/balance ratio std    | 0.001626  |
| No. fills                   | 3248      |
| No. entries                 | 1903      |
| No. closes                  | 1345      |
| No. initial entries         | 975       |
| No. reentries               | 928       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1345      |
| Average n fills per day     | 6.11      |
| Mean hours stuck            | 4.2046    |
| Max hours stuck             | 157.667   |
| PNL sum                     | 223.2     |
| Profit sum                  | 223.2     |
| Loss sum                    | 0.0       |
| Fee sum                     | -1.968    |
| Biggest pos size            | 622.0     |
| Biggest pos cost            | 167.1     |
| Volume quote                | 19684.0   |
+-----------------------------+-----------+
