+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | SOLUSDT   |
| No. days                    | 664.707   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.459%    |
| Final balance               | 31451.8   |
| Final equity                | 31383.8   |
| Net PNL + fees              | 29951.8   |
| Total gain                  | 2027.0%   |
| Average daily gain          | 0.476%    |
| DG mean std ratio           | 0.249     |
| Price action distance mean  | 0.0161947 |
| Price action distance std   | 0.0200229 |
| Price action distance max   | 0.423056  |
| Closest bankruptcy          | 99.83%    |
| Lowest equity/balance ratio | 0.7025    |
| Equity/balance ratio std    | 0.01569   |
| No. fills                   | 10280     |
| No. entries                 | 5886      |
| No. closes                  | 4394      |
| No. initial entries         | 3221      |
| No. reentries               | 2665      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 4394      |
| Average n fills per day     | 15.5      |
| Mean hours stuck            | 1.66454   |
| Max hours stuck             | 106.583   |
| PNL sum                     | 30410.0   |
| Profit sum                  | 30410.0   |
| Loss sum                    | 0.0       |
| Fee sum                     | -454.0    |
| Biggest pos size            | 1962.6    |
| Biggest pos cost            | 30750.0   |
| Volume quote                | 4539520.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.168%    |
| Final balance               | 1677.2    |
| Final equity                | 1676.01   |
| Net PNL + fees              | 177.203   |
| Total gain                  | 11.88%    |
| Average daily gain          | 0.0421%   |
| DG mean std ratio           | 0.01869   |
| Price action distance mean  | 0.347495  |
| Price action distance std   | 0.323853  |
| Price action distance max   | 0.855745  |
| Closest bankruptcy          | 59.54%    |
| Lowest equity/balance ratio | 0.4103    |
| Equity/balance ratio std    | 0.1541    |
| No. fills                   | 1827      |
| No. entries                 | 1360      |
| No. closes                  | 467       |
| No. initial entries         | 287       |
| No. reentries               | 1073      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 467       |
| Average n fills per day     | 2.75      |
| Mean hours stuck            | 9.7811    |
| Max hours stuck             | 7122.65   |
| PNL sum                     | 178.3     |
| Profit sum                  | 178.3     |
| Loss sum                    | 0.0       |
| Fee sum                     | -1.049    |
| Biggest pos size            | 78.6      |
| Biggest pos cost            | 165.0     |
| Volume quote                | 10485.4   |
+-----------------------------+-----------+
