+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | DYDXUSDT  |
| No. days                    | 303.853   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.4%      |
| Final balance               | 5045.66   |
| Final equity                | 5037.32   |
| Net PNL + fees              | 3545.66   |
| Total gain                  | 248.3%    |
| Average daily gain          | 0.434%    |
| DG mean std ratio           | 0.151     |
| Price action distance mean  | 0.038277  |
| Price action distance std   | 0.0739372 |
| Price action distance max   | 0.48877   |
| Closest bankruptcy          | 99.71%    |
| Lowest equity/balance ratio | 0.6714    |
| Equity/balance ratio std    | 0.05864   |
| No. fills                   | 26773     |
| No. entries                 | 17284     |
| No. closes                  | 9489      |
| No. initial entries         | 9169      |
| No. reentries               | 8115      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 9489      |
| Average n fills per day     | 88.1      |
| Mean hours stuck            | 0.277101  |
| Max hours stuck             | 565.45    |
| PNL sum                     | 3724.0    |
| Profit sum                  | 3724.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -178.4    |
| Biggest pos size            | 4345.1    |
| Biggest pos cost            | 4858.0    |
| Volume quote                | 1784090.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.799%    |
| Final balance               | 2245.59   |
| Final equity                | 1950.74   |
| Net PNL + fees              | 745.59    |
| Total gain                  | 50.14%    |
| Average daily gain          | 0.0912%   |
| DG mean std ratio           | 0.09413   |
| Price action distance mean  | 0.0845246 |
| Price action distance std   | 0.108108  |
| Price action distance max   | 0.482431  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8451    |
| Equity/balance ratio std    | 0.02797   |
| No. fills                   | 3869      |
| No. entries                 | 3058      |
| No. closes                  | 811       |
| No. initial entries         | 344       |
| No. reentries               | 2714      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 811       |
| Average n fills per day     | 12.7      |
| Mean hours stuck            | 2.45538   |
| Max hours stuck             | 743.767   |
| PNL sum                     | 752.1     |
| Profit sum                  | 752.1     |
| Loss sum                    | 0.0       |
| Fee sum                     | -6.525    |
| Biggest pos size            | 327.5     |
| Biggest pos cost            | 373.2     |
| Volume quote                | 65255.0   |
+-----------------------------+-----------+
