+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | DYDXUSDT  |
| No. days                    | 326.853   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.244%    |
| Final balance               | 1624.7    |
| Final equity                | 1624.66   |
| Net PNL + fees              | 124.697   |
| Total gain                  | 8.624%    |
| Average daily gain          | 0.0245%   |
| DG mean std ratio           | 0.1693    |
| Price action distance mean  | 0.0132811 |
| Price action distance std   | 0.0180926 |
| Price action distance max   | 0.311837  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9762    |
| Equity/balance ratio std    | 0.001477  |
| No. fills                   | 11203     |
| No. entries                 | 6271      |
| No. closes                  | 4932      |
| No. initial entries         | 4788      |
| No. reentries               | 1482      |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 9         |
| No. normal closes           | 4923      |
| Average n fills per day     | 34.3      |
| Mean hours stuck            | 0.70792   |
| Max hours stuck             | 106.733   |
| PNL sum                     | 129.4     |
| Profit sum                  | 130.0     |
| Loss sum                    | -0.6842   |
| Fee sum                     | -4.66     |
| Biggest pos size            | 132.9     |
| Biggest pos cost            | 162.2     |
| Volume quote                | 46601.6   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.368%    |
| Final balance               | 1691.86   |
| Final equity                | 1691.86   |
| Net PNL + fees              | 191.858   |
| Total gain                  | 13.26%    |
| Average daily gain          | 0.0369%   |
| DG mean std ratio           | 0.399     |
| Price action distance mean  | 0.0128853 |
| Price action distance std   | 0.01379   |
| Price action distance max   | 0.116167  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9869    |
| Equity/balance ratio std    | 0.0008356 |
| No. fills                   | 20556     |
| No. entries                 | 16725     |
| No. closes                  | 3831      |
| No. initial entries         | 3418      |
| No. reentries               | 13304     |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 0         |
| No. normal closes           | 3831      |
| Average n fills per day     | 62.9      |
| Mean hours stuck            | 0.469532  |
| Max hours stuck             | 185.417   |
| PNL sum                     | 199.0     |
| Profit sum                  | 199.0     |
| Loss sum                    | 0.0       |
| Fee sum                     | -7.099    |
| Biggest pos size            | 134.0     |
| Biggest pos cost            | 168.2     |
| Volume quote                | 70994.0   |
+-----------------------------+-----------+
