+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | ETCUSDT   |
| No. days                    | 929.665   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.176%    |
| Final balance               | 1766.14   |
| Final equity                | 1766.15   |
| Net PNL + fees              | 266.144   |
| Total gain                  | 18.51%    |
| Average daily gain          | 0.0178%   |
| DG mean std ratio           | 0.09013   |
| Price action distance mean  | 0.0103214 |
| Price action distance std   | 0.0192973 |
| Price action distance max   | 1.07556   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9482    |
| Equity/balance ratio std    | 0.001237  |
| No. fills                   | 21480     |
| No. entries                 | 11342     |
| No. closes                  | 10138     |
| No. initial entries         | 8898      |
| No. reentries               | 2422      |
| No. unstuck entries         | 22        |
| No. unstuck closes          | 38        |
| No. normal closes           | 10100     |
| Average n fills per day     | 23.1      |
| Mean hours stuck            | 1.09695   |
| Max hours stuck             | 95.0833   |
| PNL sum                     | 277.6     |
| Profit sum                  | 291.8     |
| Loss sum                    | -14.17    |
| Fee sum                     | -11.47    |
| Biggest pos size            | 34.5      |
| Biggest pos cost            | 175.5     |
| Volume quote                | 114681.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.32%     |
| Final balance               | 2019.11   |
| Final equity                | 1759.2    |
| Net PNL + fees              | 519.112   |
| Total gain                  | 36.42%    |
| Average daily gain          | 0.0183%   |
| DG mean std ratio           | 0.03756   |
| Price action distance mean  | 0.0419035 |
| Price action distance std   | 0.0927034 |
| Price action distance max   | 0.644308  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8174    |
| Equity/balance ratio std    | 0.01619   |
| No. fills                   | 43879     |
| No. entries                 | 25317     |
| No. closes                  | 18562     |
| No. initial entries         | 18051     |
| No. reentries               | 7265      |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 2         |
| No. normal closes           | 18560     |
| Average n fills per day     | 47.2      |
| Mean hours stuck            | 0.514764  |
| Max hours stuck             | 962.667   |
| PNL sum                     | 546.3     |
| Profit sum                  | 546.7     |
| Loss sum                    | -0.3167   |
| Fee sum                     | -27.24    |
| Biggest pos size            | 37.5      |
| Biggest pos cost            | 203.5     |
| Volume quote                | 272357.0  |
+-----------------------------+-----------+
