+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | ENJUSDT   |
| No. days                    | 681.708   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.279%    |
| Final balance               | 10049.8   |
| Final equity                | 10047.8   |
| Net PNL + fees              | 8549.78   |
| Total gain                  | 594.3%    |
| Average daily gain          | 0.294%    |
| DG mean std ratio           | 0.1688    |
| Price action distance mean  | 0.024486  |
| Price action distance std   | 0.0316743 |
| Price action distance max   | 0.7122    |
| Closest bankruptcy          | 99.8%     |
| Lowest equity/balance ratio | 0.584     |
| Equity/balance ratio std    | 0.01808   |
| No. fills                   | 44328     |
| No. entries                 | 26207     |
| No. closes                  | 18121     |
| No. initial entries         | 12451     |
| No. reentries               | 13743     |
| No. unstuck entries         | 13        |
| No. unstuck closes          | 5495      |
| No. normal closes           | 12626     |
| Average n fills per day     | 65.0      |
| Mean hours stuck            | 0.622636  |
| Max hours stuck             | 164.0     |
| PNL sum                     | 8914.0    |
| Profit sum                  | 9345.0    |
| Loss sum                    | -430.4    |
| Fee sum                     | -364.5    |
| Biggest pos size            | 10202.8   |
| Biggest pos cost            | 8111.0    |
| Volume quote                | 3644820.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.168%    |
| Final balance               | 4721.97   |
| Final equity                | 4716.13   |
| Net PNL + fees              | 3221.97   |
| Total gain                  | 223.1%    |
| Average daily gain          | 0.177%    |
| DG mean std ratio           | 0.13      |
| Price action distance mean  | 0.0187805 |
| Price action distance std   | 0.0199791 |
| Price action distance max   | 0.182318  |
| Closest bankruptcy          | 60.99%    |
| Lowest equity/balance ratio | 0.777     |
| Equity/balance ratio std    | 0.01592   |
| No. fills                   | 25780     |
| No. entries                 | 15548     |
| No. closes                  | 10232     |
| No. initial entries         | 9619      |
| No. reentries               | 5929      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 80        |
| No. normal closes           | 10152     |
| Average n fills per day     | 37.8      |
| Mean hours stuck            | 1.02046   |
| Max hours stuck             | 189.6     |
| PNL sum                     | 3347.0    |
| Profit sum                  | 3348.0    |
| Loss sum                    | -0.4344   |
| Fee sum                     | -125.2    |
| Biggest pos size            | 10029.4   |
| Biggest pos cost            | 4597.0    |
| Volume quote                | 1251980.0 |
+-----------------------------+-----------+
