+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | DOTUSDT    |
| No. days                    | 677.707    |
| Starting balance            | 10000.0    |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.388%     |
| Final balance               | 137728.0   |
| Final equity                | 135147.0   |
| Net PNL + fees              | 127728.0   |
| Total gain                  | 1345.0%    |
| Average daily gain          | 0.39%      |
| DG mean std ratio           | 0.2634     |
| Price action distance mean  | 0.0109776  |
| Price action distance std   | 0.0152778  |
| Price action distance max   | 0.87956    |
| Closest bankruptcy          | 99.97%     |
| Lowest equity/balance ratio | 0.532      |
| Equity/balance ratio std    | 0.01287    |
| No. fills                   | 44909      |
| No. entries                 | 26031      |
| No. closes                  | 18878      |
| No. initial entries         | 17540      |
| No. reentries               | 8491       |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 18878      |
| Average n fills per day     | 66.3       |
| Mean hours stuck            | 0.372682   |
| Max hours stuck             | 97.3       |
| PNL sum                     | 134500.0   |
| Profit sum                  | 134500.0   |
| Loss sum                    | 0.0        |
| Fee sum                     | -6787.0    |
| Biggest pos size            | 19154.6    |
| Biggest pos cost            | 137800.0   |
| Volume quote                | 67871500.0 |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.261%     |
| Final balance               | 11933.5    |
| Final equity                | 11932.3    |
| Net PNL + fees              | 1933.46    |
| Total gain                  | 19.73%     |
| Average daily gain          | 0.0262%    |
| DG mean std ratio           | 0.146      |
| Price action distance mean  | 0.0147491  |
| Price action distance std   | 0.02105    |
| Price action distance max   | 0.197624   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9753     |
| Equity/balance ratio std    | 0.002264   |
| No. fills                   | 21998      |
| No. entries                 | 16929      |
| No. closes                  | 5069       |
| No. initial entries         | 4066       |
| No. reentries               | 12863      |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 5069       |
| Average n fills per day     | 32.5       |
| Mean hours stuck            | 0.818034   |
| Max hours stuck             | 325.35     |
| PNL sum                     | 1973.0     |
| Profit sum                  | 1973.0     |
| Loss sum                    | 0.0        |
| Fee sum                     | -39.97     |
| Biggest pos size            | 244.1      |
| Biggest pos cost            | 1190.0     |
| Volume quote                | 399686.0   |
+-----------------------------+------------+
