+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 685.492   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.275%    |
| Final balance               | 1811.7    |
| Final equity                | 1811.0    |
| Net PNL + fees              | 311.698   |
| Total gain                  | 21.62%    |
| Average daily gain          | 0.0276%   |
| Loss to profit ratio        | 0.007114  |
| Price action distance mean  | 0.0221536 |
| Price action distance std   | 0.0288941 |
| Price action distance max   | 0.548005  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9649    |
| Equity/balance ratio std    | 0.0016    |
| No. fills                   | 35689     |
| No. entries                 | 20347     |
| No. closes                  | 15342     |
| No. initial entries         | 14643     |
| No. reentries               | 5704      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 3         |
| No. normal closes           | 15339     |
| Average n fills per day     | 52.1      |
| Mean hours stuck            | 1.44213   |
| Max hours stuck             | 287.6     |
| PNL sum                     | 324.3     |
| Profit sum                  | 326.6     |
| Loss sum                    | -2.324    |
| Fee sum                     | -12.61    |
| Biggest pos size            | 4952.0    |
| Biggest pos cost            | 175.8     |
| Volume quote                | 126094.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.124%    |
| Final balance               | 1633.51   |
| Final equity                | 1633.34   |
| Net PNL + fees              | 133.514   |
| Total gain                  | 9.301%    |
| Average daily gain          | 0.0126%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0315098 |
| Price action distance std   | 0.0298341 |
| Price action distance max   | 0.258805  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.965     |
| Equity/balance ratio std    | 0.002458  |
| No. fills                   | 25919     |
| No. entries                 | 15929     |
| No. closes                  | 9990      |
| No. initial entries         | 9798      |
| No. reentries               | 6131      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 9990      |
| Average n fills per day     | 37.8      |
| Mean hours stuck            | 1.26213   |
| Max hours stuck             | 222.267   |
| PNL sum                     | 139.5     |
| Profit sum                  | 139.5     |
| Loss sum                    | 0.0       |
| Fee sum                     | -5.998    |
| Biggest pos size            | 5522.0    |
| Biggest pos cost            | 163.2     |
| Volume quote                | 59980.5   |
+-----------------------------+-----------+
