+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | binance    |
| Market type                 | futures    |
| Symbol                      | MATICUSDT  |
| No. days                    | 761.707    |
| Starting balance            | 1500.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.165%     |
| Final balance               | 1701.03    |
| Final equity                | 1701.03    |
| Net PNL + fees              | 201.032    |
| Total gain                  | 14.53%     |
| Average daily gain          | 0.0165%    |
| Loss to profit ratio        | 0.0        |
| Price action distance mean  | 0.00928164 |
| Price action distance std   | 0.0100546  |
| Price action distance max   | 0.26542    |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.979      |
| Equity/balance ratio std    | 0.0004415  |
| No. fills                   | 37130      |
| No. entries                 | 20348      |
| No. closes                  | 16782      |
| No. initial entries         | 16827      |
| No. reentries               | 3454       |
| No. unstuck entries         | 67         |
| No. unstuck closes          | 0          |
| No. normal closes           | 16782      |
| Average n fills per day     | 48.7       |
| Mean hours stuck            | 1.38945    |
| Max hours stuck             | 201.2      |
| PNL sum                     | 217.9      |
| Profit sum                  | 217.9      |
| Loss sum                    | 0.0        |
| Fee sum                     | -16.87     |
| Biggest pos size            | 8920.0     |
| Biggest pos cost            | 169.9      |
| Volume quote                | 168687.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.144%     |
| Final balance               | 1673.64    |
| Final equity                | 1673.65    |
| Net PNL + fees              | 173.637    |
| Total gain                  | 11.66%     |
| Average daily gain          | 0.0146%    |
| Loss to profit ratio        | 0.002712   |
| Price action distance mean  | 0.0335475  |
| Price action distance std   | 0.0387267  |
| Price action distance max   | 0.379154   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9633     |
| Equity/balance ratio std    | 0.001943   |
| No. fills                   | 1963       |
| No. entries                 | 1035       |
| No. closes                  | 928        |
| No. initial entries         | 549        |
| No. reentries               | 479        |
| No. unstuck entries         | 7          |
| No. unstuck closes          | 9          |
| No. normal closes           | 919        |
| Average n fills per day     | 2.58       |
| Mean hours stuck            | 11.4327    |
| Max hours stuck             | 235.617    |
| PNL sum                     | 174.9      |
| Profit sum                  | 175.4      |
| Loss sum                    | -0.4757    |
| Fee sum                     | -1.289     |
| Biggest pos size            | 4521.0     |
| Biggest pos cost            | 166.3      |
| Volume quote                | 12892.8    |
+-----------------------------+------------+
