+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | ATOMUSDT  |
| No. days                    | 968.492   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.35%     |
| Final balance               | 2105.32   |
| Final equity                | 2096.19   |
| Net PNL + fees              | 605.324   |
| Total gain                  | 42.83%    |
| Average daily gain          | 0.0348%   |
| Loss to profit ratio        | 0.4832    |
| Price action distance mean  | 0.0154369 |
| Price action distance std   | 0.0199651 |
| Price action distance max   | 0.917218  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9519    |
| Equity/balance ratio std    | 0.001185  |
| No. fills                   | 27231     |
| No. entries                 | 14922     |
| No. closes                  | 12309     |
| No. initial entries         | 9111      |
| No. reentries               | 5059      |
| No. unstuck entries         | 752       |
| No. unstuck closes          | 673       |
| No. normal closes           | 11636     |
| Average n fills per day     | 28.1      |
| Mean hours stuck            | 1.53263   |
| Max hours stuck             | 109.667   |
| PNL sum                     | 642.4     |
| Profit sum                  | 1243.0    |
| Loss sum                    | -600.6    |
| Fee sum                     | -37.07    |
| Biggest pos size            | 92.4      |
| Biggest pos cost            | 211.9     |
| Volume quote                | 370701.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.178%    |
| Final balance               | 1783.02   |
| Final equity                | 1783.02   |
| Net PNL + fees              | 283.02    |
| Total gain                  | 19.18%    |
| Average daily gain          | 0.0179%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0151083 |
| Price action distance std   | 0.0171371 |
| Price action distance max   | 0.181193  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9778    |
| Equity/balance ratio std    | 0.0009825 |
| No. fills                   | 7528      |
| No. entries                 | 4389      |
| No. closes                  | 3139      |
| No. initial entries         | 2827      |
| No. reentries               | 1538      |
| No. unstuck entries         | 24        |
| No. unstuck closes          | 0         |
| No. normal closes           | 3139      |
| Average n fills per day     | 7.77      |
| Mean hours stuck            | 4.46824   |
| Max hours stuck             | 158.05    |
| PNL sum                     | 287.7     |
| Profit sum                  | 287.7     |
| Loss sum                    | 0.0       |
| Fee sum                     | -4.678    |
| Biggest pos size            | 64.3      |
| Biggest pos cost            | 177.5     |
| Volume quote                | 46782.6   |
+-----------------------------+-----------+
