+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOTUSDT   |
| No. days                    | 822.708   |
| Starting balance            | 1500.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.279%    |
| Final balance               | 2663.07   |
| Final equity                | 2663.55   |
| Net PNL + fees              | 1163.07   |
| Total gain                  | 79.05%    |
| Average daily gain          | 0.0702%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0106756 |
| Price action distance std   | 0.0104324 |
| Price action distance max   | 0.893051  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8819    |
| Equity/balance ratio std    | 0.001662  |
| No. fills                   | 28356     |
| No. entries                 | 10942     |
| No. closes                  | 17414     |
| No. initial entries         | 8809      |
| No. reentries               | 2133      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 17414     |
| Average n fills per day     | 34.5      |
| Mean hours stuck            | 1.58429   |
| Max hours stuck             | 179.167   |
| PNL sum                     | 1186.0    |
| Profit sum                  | 1186.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -22.74    |
| Biggest pos size            | 126.6     |
| Biggest pos cost            | 666.7     |
| Volume quote                | 227411.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0838%   |
| Final balance               | 1629.4    |
| Final equity                | 1629.34   |
| Net PNL + fees              | 129.4     |
| Total gain                  | 8.922%    |
| Average daily gain          | 0.0101%   |
| Loss to profit ratio        | 0.0       |
| Price action distance mean  | 0.0139037 |
| Price action distance std   | 0.0100676 |
| Price action distance max   | 0.116982  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.984     |
| Equity/balance ratio std    | 0.0004523 |
| No. fills                   | 14194     |
| No. entries                 | 6392      |
| No. closes                  | 7802      |
| No. initial entries         | 5215      |
| No. reentries               | 1177      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 7802      |
| Average n fills per day     | 17.3      |
| Mean hours stuck            | 1.49493   |
| Max hours stuck             | 143.417   |
| PNL sum                     | 133.8     |
| Profit sum                  | 133.8     |
| Loss sum                    | 0.0       |
| Fee sum                     | -4.426    |
| Biggest pos size            | 38.5      |
| Biggest pos cost            | 195.1     |
| Volume quote                | 44263.6   |
+-----------------------------+-----------+
