+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | binance    |
| Market type                 | futures    |
| Symbol                      | SANDUSDT   |
| No. days                    | 666.708    |
| Starting balance            | 1500.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.195%     |
| Final balance               | 2074.65    |
| Final equity                | 2074.65    |
| Net PNL + fees              | 574.649    |
| Total gain                  | 39.16%     |
| Average daily gain          | 0.0488%    |
| Loss to profit ratio        | 0.0        |
| Price action distance mean  | 0.0129162  |
| Price action distance std   | 0.00994634 |
| Price action distance max   | 0.408489   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9274     |
| Equity/balance ratio std    | 0.0009773  |
| No. fills                   | 17090      |
| No. entries                 | 9955       |
| No. closes                  | 7135       |
| No. initial entries         | 7172       |
| No. reentries               | 2783       |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 7135       |
| Average n fills per day     | 25.6       |
| Mean hours stuck            | 2.39715    |
| Max hours stuck             | 137.217    |
| PNL sum                     | 587.4      |
| Profit sum                  | 587.4      |
| Loss sum                    | 0.0        |
| Fee sum                     | -12.76     |
| Biggest pos size            | 4632.0     |
| Biggest pos cost            | 516.2      |
| Volume quote                | 127593.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.335%     |
| Final balance               | 1961.51    |
| Final equity                | 1961.43    |
| Net PNL + fees              | 461.512    |
| Total gain                  | 31.32%     |
| Average daily gain          | 0.0438%    |
| Loss to profit ratio        | 0.0        |
| Price action distance mean  | 0.0653609  |
| Price action distance std   | 0.145966   |
| Price action distance max   | 0.680557   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.7425     |
| Equity/balance ratio std    | 0.03787    |
| No. fills                   | 13479      |
| No. entries                 | 8405       |
| No. closes                  | 5074       |
| No. initial entries         | 4937       |
| No. reentries               | 3468       |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 5074       |
| Average n fills per day     | 20.2       |
| Mean hours stuck            | 2.54388    |
| Max hours stuck             | 1604.28    |
| PNL sum                     | 469.9      |
| Profit sum                  | 469.9      |
| Loss sum                    | 0.0        |
| Fee sum                     | -8.36      |
| Biggest pos size            | 1694.0     |
| Biggest pos cost            | 234.4      |
| Volume quote                | 83601.4    |
+-----------------------------+------------+
