+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| Passivbot mode              | clock     |
| No. days                    | 830.0     |
| Starting balance            | 500.0     |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.535%    |
| Final balance               | 42457.6   |
| Final equity                | 42459.9   |
| Net PNL + fees              | 41957.6   |
| Total gain                  | 8472.0    |
| Average daily gain          | 0.535     |
| Net PNL + fees              | 41957.6   |
| Loss to profit ratio        | 0.1644    |
| Price action distance mean  | 0.0148283 |
| Price action distance std   | 0.0154492 |
| Price action distance max   | 0.251831  |
| Closest bankruptcy          | 99.96     |
| Lowest equity/balance ratio | 0.7988    |
| Equity/balance ratio std    | 0.009812  |
| No. fills                   | 3360      |
| No. entries                 | 1946      |
| No. closes                  | 1414      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 1946      |
| No. unstuck/EMA closes      | 1342      |
| No. normal closes           | 72        |
| Average n fills per day     | 4.04      |
| Mean hours stuck            | 5.9417    |
| Max hours stuck             | 31.95     |
| PNL sum                     | 42360.0   |
| Profit sum                  | 50700.0   |
| Loss sum                    | -8336.0   |
| Fee sum                     | -403.3    |
| Volume quote                | 4273900.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.2%      |
| Final balance               | 2625.74   |
| Final equity                | 2625.73   |
| Net PNL + fees              | 2125.74   |
| Total gain                  | 434.0     |
| Average daily gain          | 0.2       |
| Net PNL + fees              | 2125.74   |
| Loss to profit ratio        | 0.1341    |
| Price action distance mean  | 0.0135899 |
| Price action distance std   | 0.0137793 |
| Price action distance max   | 0.173694  |
| Closest bankruptcy          | 65.27     |
| Lowest equity/balance ratio | 0.7898    |
| Equity/balance ratio std    | 0.007331  |
| No. fills                   | 6463      |
| No. entries                 | 3856      |
| No. closes                  | 2607      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 3856      |
| No. unstuck/EMA closes      | 1071      |
| No. normal closes           | 1536      |
| Average n fills per day     | 7.77      |
| Mean hours stuck            | 3.08857   |
| Max hours stuck             | 66.9167   |
| PNL sum                     | 2170.0    |
| Profit sum                  | 2506.0    |
| Loss sum                    | -336.0    |
| Fee sum                     | -44.45    |
| Volume quote                | 584328.0  |
+-----------------------------+-----------+
