+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | ETHUSDT   |
| Passivbot mode              | emas      |
| No. days                    | 1100.0    |
| Starting balance            | 500.0     |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.437%    |
| Final balance               | 1653.37   |
| Final equity                | 1623.32   |
| Net PNL + fees              | 1153.37   |
| Total gain                  | 236.8     |
| Average daily gain          | 0.109     |
| Net PNL + fees              | 1153.37   |
| Loss to profit ratio        | 0.5826    |
| Price action distance mean  | 0.0885355 |
| Price action distance std   | 0.0982198 |
| Price action distance max   | 1.84557   |
| Closest bankruptcy          | 100.0     |
| Lowest equity/balance ratio | 0.8388    |
| Equity/balance ratio std    | 0.0183    |
| No. fills                   | 10659     |
| No. entries                 | 4519      |
| No. closes                  | 6140      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 4519      |
| No. unstuck/EMA closes      | 4658      |
| No. normal closes           | 1482      |
| Average n fills per day     | 9.73      |
| Mean hours stuck            | 2.46213   |
| Max hours stuck             | 104.717   |
| PNL sum                     | 1184.0    |
| Profit sum                  | 2837.0    |
| Loss sum                    | -1653.0   |
| Fee sum                     | -30.66    |
| Volume quote                | 3247070.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.776%    |
| Final balance               | 1169.72   |
| Final equity                | 1169.72   |
| Net PNL + fees              | 669.716   |
| Total gain                  | 160.7     |
| Average daily gain          | 0.0776    |
| Net PNL + fees              | 669.716   |
| Loss to profit ratio        | 0.5737    |
| Price action distance mean  | 0.0100457 |
| Price action distance std   | 0.0099603 |
| Price action distance max   | 0.112067  |
| Closest bankruptcy          | 100.0     |
| Lowest equity/balance ratio | 0.9857    |
| Equity/balance ratio std    | 0.0006829 |
| No. fills                   | 74663     |
| No. entries                 | 38099     |
| No. closes                  | 36564     |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 38099     |
| No. unstuck/EMA closes      | 36410     |
| No. normal closes           | 154       |
| Average n fills per day     | 68.1      |
| Mean hours stuck            | 0.352292  |
| Max hours stuck             | 48.3833   |
| PNL sum                     | 803.4     |
| Profit sum                  | 1885.0    |
| Loss sum                    | -1081.0   |
| Fee sum                     | -133.6    |
| Volume quote                | 699508.0  |
+-----------------------------+-----------+
