+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | ALGOUSDT  |
| Passivbot mode              | emas      |
| No. days                    | 930.0     |
| Starting balance            | 500.0     |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.321%    |
| Final balance               | 1053.6    |
| Final equity                | 1053.61   |
| Net PNL + fees              | 553.597   |
| Total gain                  | 112.6     |
| Average daily gain          | 0.0803    |
| Net PNL + fees              | 553.597   |
| Loss to profit ratio        | 0.1812    |
| Price action distance mean  | 0.0106152 |
| Price action distance std   | 0.0145189 |
| Price action distance max   | 0.413798  |
| Closest bankruptcy          | 100.0     |
| Lowest equity/balance ratio | 0.9268    |
| Equity/balance ratio std    | 0.002872  |
| No. fills                   | 22346     |
| No. entries                 | 9542      |
| No. closes                  | 12804     |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 9542      |
| No. unstuck/EMA closes      | 12622     |
| No. normal closes           | 182       |
| Average n fills per day     | 24.1      |
| Mean hours stuck            | 0.997386  |
| Max hours stuck             | 42.4167   |
| PNL sum                     | 562.9     |
| Profit sum                  | 687.5     |
| Loss sum                    | -124.6    |
| Fee sum                     | -9.336    |
| Volume quote                | 228054.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.368%    |
| Final balance               | 703.674   |
| Final equity                | 702.864   |
| Net PNL + fees              | 203.674   |
| Total gain                  | 41.74     |
| Average daily gain          | 0.0368    |
| Net PNL + fees              | 203.674   |
| Loss to profit ratio        | 0.1579    |
| Price action distance mean  | 0.0150108 |
| Price action distance std   | 0.0276861 |
| Price action distance max   | 0.38038   |
| Closest bankruptcy          | 100.0     |
| Lowest equity/balance ratio | 0.9386    |
| Equity/balance ratio std    | 0.003084  |
| No. fills                   | 17738     |
| No. entries                 | 7733      |
| No. closes                  | 10005     |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 7733      |
| No. unstuck/EMA closes      | 9309      |
| No. normal closes           | 696       |
| Average n fills per day     | 19.1      |
| Mean hours stuck            | 1.25639   |
| Max hours stuck             | 51.1167   |
| PNL sum                     | 208.7     |
| Profit sum                  | 247.8     |
| Loss sum                    | -39.12    |
| Fee sum                     | -5.007    |
| Volume quote                | 117145.0  |
+-----------------------------+-----------+
