+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | DOGEUSDT   |
| Passivbot mode              | emas       |
| No. days                    | 900.0      |
| Starting balance            | 500.0      |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.782%     |
| Final balance               | 2924.2     |
| Final equity                | 2924.2     |
| Net PNL + fees              | 2424.2     |
| Total gain                  | 493.3      |
| Average daily gain          | 0.195      |
| Net PNL + fees              | 2424.2     |
| Loss to profit ratio        | 0.2373     |
| Price action distance mean  | 0.00854392 |
| Price action distance std   | 0.0170243  |
| Price action distance max   | 0.57291    |
| Closest bankruptcy          | 100.0      |
| Lowest equity/balance ratio | 0.9089     |
| Equity/balance ratio std    | 0.003672   |
| No. fills                   | 23939      |
| No. entries                 | 13556      |
| No. closes                  | 10383      |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 13556      |
| No. unstuck/EMA closes      | 9611       |
| No. normal closes           | 772        |
| Average n fills per day     | 26.5       |
| Mean hours stuck            | 0.906762   |
| Max hours stuck             | 17.9333    |
| PNL sum                     | 2467.0     |
| Profit sum                  | 3234.0     |
| Loss sum                    | -767.4     |
| Fee sum                     | -42.32     |
| Volume quote                | 916509.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.164%     |
| Final balance               | 579.892    |
| Final equity                | 579.895    |
| Net PNL + fees              | 79.8922    |
| Total gain                  | 16.31      |
| Average daily gain          | 0.0164     |
| Net PNL + fees              | 79.8922    |
| Loss to profit ratio        | 0.2051     |
| Price action distance mean  | 0.00845196 |
| Price action distance std   | 0.0114928  |
| Price action distance max   | 0.391485   |
| Closest bankruptcy          | 100.0      |
| Lowest equity/balance ratio | 0.9357     |
| Equity/balance ratio std    | 0.000714   |
| No. fills                   | 7923       |
| No. entries                 | 3220       |
| No. closes                  | 4703       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 3220       |
| No. unstuck/EMA closes      | 4464       |
| No. normal closes           | 239        |
| Average n fills per day     | 8.76       |
| Mean hours stuck            | 2.74023    |
| Max hours stuck             | 93.9167    |
| PNL sum                     | 81.55      |
| Profit sum                  | 102.6      |
| Loss sum                    | -21.04     |
| Fee sum                     | -1.657     |
| Volume quote                | 13588.4    |
+-----------------------------+------------+
