+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | HBARUSDT  |
| Passivbot mode              | emas      |
| No. days                    | 650.0     |
| Starting balance            | 500.0     |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | -0.0554%  |
| Final balance               | 456.659   |
| Final equity                | 407.826   |
| Net PNL + fees              | -43.3414  |
| Total gain                  | -8.244    |
| Average daily gain          | -0.0138   |
| Net PNL + fees              | -43.3414  |
| Loss to profit ratio        | 1.177     |
| Price action distance mean  | 0.366785  |
| Price action distance std   | 0.245222  |
| Price action distance max   | 2.12557   |
| Closest bankruptcy          | 100.0     |
| Lowest equity/balance ratio | 0.83      |
| Equity/balance ratio std    | 0.03041   |
| No. fills                   | 2793      |
| No. entries                 | 888       |
| No. closes                  | 1905      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 888       |
| No. unstuck/EMA closes      | 1718      |
| No. normal closes           | 187       |
| Average n fills per day     | 4.27      |
| Mean hours stuck            | 5.58842   |
| Max hours stuck             | 306.867   |
| PNL sum                     | -41.22    |
| Profit sum                  | 232.6     |
| Loss sum                    | -273.8    |
| Fee sum                     | -2.124    |
| Volume quote                | 337626.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0815%   |
| Final balance               | 527.401   |
| Final equity                | 527.378   |
| Net PNL + fees              | 27.4007   |
| Total gain                  | 6.502     |
| Average daily gain          | 0.00815   |
| Net PNL + fees              | 27.4007   |
| Loss to profit ratio        | 0.5934    |
| Price action distance mean  | 0.0135719 |
| Price action distance std   | 0.012662  |
| Price action distance max   | 0.14717   |
| Closest bankruptcy          | 100.0     |
| Lowest equity/balance ratio | 0.9922    |
| Equity/balance ratio std    | 0.0001146 |
| No. fills                   | 44815     |
| No. entries                 | 22933     |
| No. closes                  | 21882     |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 22933     |
| No. unstuck/EMA closes      | 21760     |
| No. normal closes           | 122       |
| Average n fills per day     | 68.5      |
| Mean hours stuck            | 0.350549  |
| Max hours stuck             | 8.28333   |
| PNL sum                     | 32.51     |
| Profit sum                  | 79.96     |
| Loss sum                    | -47.45    |
| Fee sum                     | -5.111    |
| Volume quote                | 27906.8   |
+-----------------------------+-----------+
