+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | SANDUSDT  |
| Passivbot mode              | emas      |
| No. days                    | 710.0     |
| Starting balance            | 500.0     |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.331%    |
| Final balance               | 896.72    |
| Final equity                | 896.73    |
| Net PNL + fees              | 396.72    |
| Total gain                  | 81.77     |
| Average daily gain          | 0.0828    |
| Net PNL + fees              | 396.72    |
| Loss to profit ratio        | 0.241     |
| Price action distance mean  | 0.0100354 |
| Price action distance std   | 0.0124384 |
| Price action distance max   | 0.489307  |
| Closest bankruptcy          | 100.0     |
| Lowest equity/balance ratio | 0.9178    |
| Equity/balance ratio std    | 0.002204  |
| No. fills                   | 25324     |
| No. entries                 | 14177     |
| No. closes                  | 11147     |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 14177     |
| No. unstuck/EMA closes      | 10944     |
| No. normal closes           | 203       |
| Average n fills per day     | 35.9      |
| Mean hours stuck            | 0.668799  |
| Max hours stuck             | 12.85     |
| PNL sum                     | 408.8     |
| Profit sum                  | 538.7     |
| Loss sum                    | -129.8    |
| Fee sum                     | -12.11    |
| Volume quote                | 140466.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.162%    |
| Final balance               | 560.374   |
| Final equity                | 560.374   |
| Net PNL + fees              | 60.374    |
| Total gain                  | 12.58     |
| Average daily gain          | 0.0162    |
| Net PNL + fees              | 60.374    |
| Loss to profit ratio        | 0.2695    |
| Price action distance mean  | 0.0106756 |
| Price action distance std   | 0.0113827 |
| Price action distance max   | 0.184638  |
| Closest bankruptcy          | 100.0     |
| Lowest equity/balance ratio | 0.9774    |
| Equity/balance ratio std    | 0.0002946 |
| No. fills                   | 9117      |
| No. entries                 | 4980      |
| No. closes                  | 4137      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 4980      |
| No. unstuck/EMA closes      | 4056      |
| No. normal closes           | 81        |
| Average n fills per day     | 12.9      |
| Mean hours stuck            | 1.83542   |
| Max hours stuck             | 192.6     |
| PNL sum                     | 62.9      |
| Profit sum                  | 86.1      |
| Loss sum                    | -23.2     |
| Fee sum                     | -2.525    |
| Volume quote                | 18651.2   |
+-----------------------------+-----------+
