+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | VETUSDT    |
| Passivbot mode              | emas       |
| No. days                    | 1100.0     |
| Starting balance            | 500.0      |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.181%     |
| Final balance               | 804.737    |
| Final equity                | 744.986    |
| Net PNL + fees              | 304.737    |
| Total gain                  | 62.89      |
| Average daily gain          | 0.0453     |
| Net PNL + fees              | 304.737    |
| Loss to profit ratio        | 0.672      |
| Price action distance mean  | 0.381183   |
| Price action distance std   | 0.342728   |
| Price action distance max   | 2.862      |
| Closest bankruptcy          | 100.0      |
| Lowest equity/balance ratio | 0.8147     |
| Equity/balance ratio std    | 0.03979    |
| No. fills                   | 9559       |
| No. entries                 | 1470       |
| No. closes                  | 8089       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 1470       |
| No. unstuck/EMA closes      | 6933       |
| No. normal closes           | 1156       |
| Average n fills per day     | 9.09       |
| Mean hours stuck            | 2.64035    |
| Max hours stuck             | 115.067    |
| PNL sum                     | 314.4      |
| Profit sum                  | 958.7      |
| Loss sum                    | -644.2     |
| Fee sum                     | -9.695     |
| Volume quote                | 960865.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.0741%    |
| Final balance               | 540.541    |
| Final equity                | 540.47     |
| Net PNL + fees              | 40.5412    |
| Total gain                  | 10.02      |
| Average daily gain          | 0.00741    |
| Net PNL + fees              | 40.5412    |
| Loss to profit ratio        | 0.6771     |
| Price action distance mean  | 0.00990672 |
| Price action distance std   | 0.00859684 |
| Price action distance max   | 0.134567   |
| Closest bankruptcy          | 100.0      |
| Lowest equity/balance ratio | 0.9845     |
| Equity/balance ratio std    | 0.0002427  |
| No. fills                   | 86279      |
| No. entries                 | 44913      |
| No. closes                  | 41366      |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 44913      |
| No. unstuck/EMA closes      | 41332      |
| No. normal closes           | 34         |
| Average n fills per day     | 82.0       |
| Mean hours stuck            | 0.292474   |
| Max hours stuck             | 8.45       |
| PNL sum                     | 50.12      |
| Profit sum                  | 155.2      |
| Loss sum                    | -105.1     |
| Fee sum                     | -9.577     |
| Volume quote                | 59887.9    |
+-----------------------------+------------+
