+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | ETHUSDT   |
| Passivbot mode              | emas      |
| No. days                    | 1100.0    |
| Starting balance            | 500.0     |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.455%    |
| Final balance               | 1794.31   |
| Final equity                | 1793.41   |
| Net PNL + fees              | 1294.31   |
| Total gain                  | 265.9     |
| Average daily gain          | 0.114     |
| Net PNL + fees              | 1294.31   |
| Loss to profit ratio        | 0.5414    |
| Price action distance mean  | 0.0974273 |
| Price action distance std   | 0.114163  |
| Price action distance max   | 1.89075   |
| Closest bankruptcy          | 100.0     |
| Lowest equity/balance ratio | 0.8363    |
| Equity/balance ratio std    | 0.01983   |
| No. fills                   | 10509     |
| No. entries                 | 3983      |
| No. closes                  | 6526      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 3983      |
| No. unstuck/EMA closes      | 5949      |
| No. normal closes           | 577       |
| Average n fills per day     | 9.34      |
| Mean hours stuck            | 2.56896   |
| Max hours stuck             | 120.7     |
| PNL sum                     | 1330.0    |
| Profit sum                  | 2899.0    |
| Loss sum                    | -1570.0   |
| Fee sum                     | -35.24    |
| Volume quote                | 2943590.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.741%    |
| Final balance               | 1150.72   |
| Final equity                | 1150.66   |
| Net PNL + fees              | 650.722   |
| Total gain                  | 151.9     |
| Average daily gain          | 0.0741    |
| Net PNL + fees              | 650.722   |
| Loss to profit ratio        | 0.572     |
| Price action distance mean  | 0.0104329 |
| Price action distance std   | 0.0101033 |
| Price action distance max   | 0.124855  |
| Closest bankruptcy          | 100.0     |
| Lowest equity/balance ratio | 0.9842    |
| Equity/balance ratio std    | 0.0007364 |
| No. fills                   | 60931     |
| No. entries                 | 31369     |
| No. closes                  | 29562     |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 31369     |
| No. unstuck/EMA closes      | 29238     |
| No. normal closes           | 324       |
| Average n fills per day     | 54.2      |
| Mean hours stuck            | 0.44308   |
| Max hours stuck             | 48.7833   |
| PNL sum                     | 759.4     |
| Profit sum                  | 1774.0    |
| Loss sum                    | -1015.0   |
| Fee sum                     | -108.7    |
| Volume quote                | 587746.0  |
+-----------------------------+-----------+
