+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | DOGEUSDT   |
| Passivbot mode              | clock      |
| No. days                    | 900.0      |
| Starting balance            | 500.0      |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.779%     |
| Final balance               | 2903.66    |
| Final equity                | 2903.66    |
| Net PNL + fees              | 2403.66    |
| Total gain                  | 488.4      |
| Average daily gain          | 0.195      |
| Net PNL + fees              | 2403.66    |
| Loss to profit ratio        | 0.2064     |
| Price action distance mean  | 0.00748271 |
| Price action distance std   | 0.0132043  |
| Price action distance max   | 0.406585   |
| Closest bankruptcy          | 100.0      |
| Lowest equity/balance ratio | 0.9277     |
| Equity/balance ratio std    | 0.002591   |
| No. fills                   | 15343      |
| No. entries                 | 9702       |
| No. closes                  | 5641       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 9702       |
| No. unstuck/EMA closes      | 4252       |
| No. normal closes           | 1389       |
| Average n fills per day     | 17.0       |
| Mean hours stuck            | 1.41484    |
| Max hours stuck             | 23.5167    |
| PNL sum                     | 2442.0     |
| Profit sum                  | 3077.0     |
| Loss sum                    | -634.9     |
| Fee sum                     | -38.37     |
| Volume quote                | 421588.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.128%     |
| Final balance               | 561.518    |
| Final equity                | 561.515    |
| Net PNL + fees              | 61.5181    |
| Total gain                  | 12.59      |
| Average daily gain          | 0.0128     |
| Net PNL + fees              | 61.5181    |
| Loss to profit ratio        | 0.1694     |
| Price action distance mean  | 0.0110223  |
| Price action distance std   | 0.0142655  |
| Price action distance max   | 0.42101    |
| Closest bankruptcy          | 100.0      |
| Lowest equity/balance ratio | 0.9273     |
| Equity/balance ratio std    | 0.0008109  |
| No. fills                   | 10752      |
| No. entries                 | 5221       |
| No. closes                  | 5531       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 5221       |
| No. unstuck/EMA closes      | 5383       |
| No. normal closes           | 148        |
| Average n fills per day     | 11.9       |
| Mean hours stuck            | 2.01916    |
| Max hours stuck             | 94.6       |
| PNL sum                     | 62.97      |
| Profit sum                  | 75.81      |
| Loss sum                    | -12.84     |
| Fee sum                     | -1.451     |
| Volume quote                | 20140.5    |
+-----------------------------+------------+
