+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | ADAUSDT    |
| Passivbot mode              | clock      |
| No. days                    | 1100.0     |
| Starting balance            | 500.0      |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.233%     |
| Final balance               | 947.445    |
| Final equity                | 947.435    |
| Net PNL + fees              | 447.445    |
| Total gain                  | 90.65%     |
| Average daily gain          | 0.0583%    |
| Net PNL + fees              | 447.445    |
| Loss to profit ratio        | 0.2152     |
| Price action distance mean  | 0.00978685 |
| Price action distance std   | 0.0180511  |
| Price action distance max   | 0.840176   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.8859     |
| Equity/balance ratio std    | 0.00315    |
| No. fills                   | 12279      |
| No. entries                 | 7925       |
| No. closes                  | 4354       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 7925       |
| No. unstuck/EMA closes      | 3756       |
| No. normal closes           | 598        |
| Average n fills per day     | 11.2       |
| Mean hours stuck            | 2.14334    |
| Max hours stuck             | 42.15      |
| PNL sum                     | 453.2      |
| Profit sum                  | 577.5      |
| Loss sum                    | -124.3     |
| Fee sum                     | -5.799     |
| Volume quote                | 75993.7    |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.125%     |
| Final balance               | 573.391    |
| Final equity                | 573.39     |
| Net PNL + fees              | 73.3906    |
| Total gain                  | 15.28%     |
| Average daily gain          | 0.0125%    |
| Net PNL + fees              | 73.3906    |
| Loss to profit ratio        | 0.2376     |
| Price action distance mean  | 0.00682644 |
| Price action distance std   | 0.00657705 |
| Price action distance max   | 0.0696448  |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9925     |
| Equity/balance ratio std    | 0.000168   |
| No. fills                   | 13748      |
| No. entries                 | 7348       |
| No. closes                  | 6400       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 7348       |
| No. unstuck/EMA closes      | 6341       |
| No. normal closes           | 59         |
| Average n fills per day     | 12.5       |
| Mean hours stuck            | 1.91451    |
| Max hours stuck             | 102.6      |
| PNL sum                     | 76.39      |
| Profit sum                  | 100.2      |
| Loss sum                    | -23.8      |
| Fee sum                     | -3.003     |
| Volume quote                | 21066.8    |
+-----------------------------+------------+
