+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | LTCUSDT    |
| Passivbot mode              | clock      |
| No. days                    | 1100.0     |
| Starting balance            | 500.0      |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.214%     |
| Final balance               | 910.521    |
| Final equity                | 910.521    |
| Net PNL + fees              | 410.521    |
| Total gain                  | 84.13%     |
| Average daily gain          | 0.0536%    |
| Net PNL + fees              | 410.521    |
| Loss to profit ratio        | 0.1945     |
| Price action distance mean  | 0.0126882  |
| Price action distance std   | 0.0137206  |
| Price action distance max   | 0.193553   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9577     |
| Equity/balance ratio std    | 0.0009427  |
| No. fills                   | 7052       |
| No. entries                 | 3152       |
| No. closes                  | 3900       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 3152       |
| No. unstuck/EMA closes      | 3771       |
| No. normal closes           | 129        |
| Average n fills per day     | 6.3        |
| Mean hours stuck            | 3.80615    |
| Max hours stuck             | 196.95     |
| PNL sum                     | 420.6      |
| Profit sum                  | 522.2      |
| Loss sum                    | -101.6     |
| Fee sum                     | -10.11     |
| Volume quote                | 125255.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.705%     |
| Final balance               | 1100.11    |
| Final equity                | 1099.97    |
| Net PNL + fees              | 600.11     |
| Total gain                  | 132.6%     |
| Average daily gain          | 0.0705%    |
| Net PNL + fees              | 600.11     |
| Loss to profit ratio        | 0.5516     |
| Price action distance mean  | 0.00939851 |
| Price action distance std   | 0.00800123 |
| Price action distance max   | 0.127667   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9869     |
| Equity/balance ratio std    | 0.0006324  |
| No. fills                   | 43876      |
| No. entries                 | 24085      |
| No. closes                  | 19791      |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 24085      |
| No. unstuck/EMA closes      | 18909      |
| No. normal closes           | 882        |
| Average n fills per day     | 39.2       |
| Mean hours stuck            | 0.611854   |
| Max hours stuck             | 48.15      |
| PNL sum                     | 662.9      |
| Profit sum                  | 1478.0     |
| Loss sum                    | -815.5     |
| Fee sum                     | -62.76     |
| Volume quote                | 421492.0   |
+-----------------------------+------------+
