+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | COMPUSDT  |
| Passivbot mode              | clock     |
| No. days                    | 950.0     |
| Starting balance            | 500.0     |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.272%    |
| Final balance               | 950.42    |
| Final equity                | 949.991   |
| Net PNL + fees              | 450.42    |
| Total gain                  | 90.78%    |
| Average daily gain          | 0.0679%   |
| Net PNL + fees              | 450.42    |
| Loss to profit ratio        | 0.1717    |
| Price action distance mean  | 0.0216452 |
| Price action distance std   | 0.0254321 |
| Price action distance max   | 0.48903   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9187    |
| Equity/balance ratio std    | 0.00459   |
| No. fills                   | 3327      |
| No. entries                 | 1909      |
| No. closes                  | 1418      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 1909      |
| No. unstuck/EMA closes      | 1045      |
| No. normal closes           | 373       |
| Average n fills per day     | 3.52      |
| Mean hours stuck            | 6.8196    |
| Max hours stuck             | 48.6833   |
| PNL sum                     | 453.9     |
| Profit sum                  | 548.0     |
| Loss sum                    | -94.07    |
| Fee sum                     | -3.475    |
| Volume quote                | 90788.2   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.221%    |
| Final balance               | 615.946   |
| Final equity                | 615.946   |
| Net PNL + fees              | 115.946   |
| Total gain                  | 23.5%     |
| Average daily gain          | 0.0221%   |
| Net PNL + fees              | 115.946   |
| Loss to profit ratio        | 0.07666   |
| Price action distance mean  | 0.0266108 |
| Price action distance std   | 0.029015  |
| Price action distance max   | 0.272802  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9637    |
| Equity/balance ratio std    | 0.002265  |
| No. fills                   | 3032      |
| No. entries                 | 1448      |
| No. closes                  | 1584      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 1448      |
| No. unstuck/EMA closes      | 271       |
| No. normal closes           | 1313      |
| Average n fills per day     | 3.21      |
| Mean hours stuck            | 7.46518   |
| Max hours stuck             | 85.4667   |
| PNL sum                     | 117.5     |
| Profit sum                  | 127.3     |
| Loss sum                    | -9.755    |
| Fee sum                     | -1.551    |
| Volume quote                | 23637.8   |
+-----------------------------+-----------+
