+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | XRPUSDT    |
| Passivbot mode              | clock      |
| No. days                    | 1100.0     |
| Starting balance            | 500.0      |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.402%     |
| Final balance               | 1544.85    |
| Final equity                | 1544.8     |
| Net PNL + fees              | 1044.85    |
| Total gain                  | 213.4%     |
| Average daily gain          | 0.101%     |
| Net PNL + fees              | 1044.85    |
| Loss to profit ratio        | 0.1846     |
| Price action distance mean  | 0.00577197 |
| Price action distance std   | 0.00603495 |
| Price action distance max   | 0.343609   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9361     |
| Equity/balance ratio std    | 0.0007876  |
| No. fills                   | 20897      |
| No. entries                 | 12470      |
| No. closes                  | 8427       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 12470      |
| No. unstuck/EMA closes      | 8219       |
| No. normal closes           | 208        |
| Average n fills per day     | 18.6       |
| Mean hours stuck            | 1.28803    |
| Max hours stuck             | 5.05       |
| PNL sum                     | 1067.0     |
| Profit sum                  | 1309.0     |
| Loss sum                    | -241.6     |
| Fee sum                     | -22.26     |
| Volume quote                | 188892.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.0923%    |
| Final balance               | 554.518    |
| Final equity                | 554.525    |
| Net PNL + fees              | 54.5185    |
| Total gain                  | 11.3%      |
| Average daily gain          | 0.00923%   |
| Net PNL + fees              | 54.5185    |
| Loss to profit ratio        | 0.258      |
| Price action distance mean  | 0.00692845 |
| Price action distance std   | 0.00774662 |
| Price action distance max   | 0.225012   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.971      |
| Equity/balance ratio std    | 0.0003488  |
| No. fills                   | 10204      |
| No. entries                 | 6201       |
| No. closes                  | 4003       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 6201       |
| No. unstuck/EMA closes      | 3246       |
| No. normal closes           | 757        |
| Average n fills per day     | 9.1        |
| Mean hours stuck            | 2.63823    |
| Max hours stuck             | 110.9      |
| PNL sum                     | 56.52      |
| Profit sum                  | 76.18      |
| Loss sum                    | -19.65     |
| Fee sum                     | -2.004     |
| Volume quote                | 29974.1    |
+-----------------------------+------------+
