+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | DOGEUSDT   |
| Passivbot mode              | clock      |
| No. days                    | 940.0      |
| Starting balance            | 500.0      |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.486%     |
| Final balance               | 1557.12    |
| Final equity                | 1557.12    |
| Net PNL + fees              | 1057.12    |
| Total gain                  | 217.0%     |
| Average daily gain          | 0.121%     |
| Net PNL + fees              | 1057.12    |
| Loss to profit ratio        | 0.1547     |
| Price action distance mean  | 0.00925549 |
| Price action distance std   | 0.0149064  |
| Price action distance max   | 0.439371   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9237     |
| Equity/balance ratio std    | 0.00244    |
| No. fills                   | 37493      |
| No. entries                 | 16513      |
| No. closes                  | 20980      |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 16513      |
| No. unstuck/EMA closes      | 18053      |
| No. normal closes           | 2927       |
| Average n fills per day     | 40.1       |
| Mean hours stuck            | 0.598857   |
| Max hours stuck             | 62.65      |
| PNL sum                     | 1085.0     |
| Profit sum                  | 1283.0     |
| Loss sum                    | -198.6     |
| Fee sum                     | -27.74     |
| Volume quote                | 934693.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.167%     |
| Final balance               | 584.785    |
| Final equity                | 584.774    |
| Net PNL + fees              | 84.7847    |
| Total gain                  | 17.45%     |
| Average daily gain          | 0.0167%    |
| Net PNL + fees              | 84.7847    |
| Loss to profit ratio        | 0.1553     |
| Price action distance mean  | 0.00802152 |
| Price action distance std   | 0.0092873  |
| Price action distance max   | 0.226049   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9608     |
| Equity/balance ratio std    | 0.0004629  |
| No. fills                   | 15307      |
| No. entries                 | 10470      |
| No. closes                  | 4837       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 10470      |
| No. unstuck/EMA closes      | 3156       |
| No. normal closes           | 1681       |
| Average n fills per day     | 16.4       |
| Mean hours stuck            | 1.46698    |
| Max hours stuck             | 19.3833    |
| PNL sum                     | 87.25      |
| Profit sum                  | 103.3      |
| Loss sum                    | -16.05     |
| Fee sum                     | -2.467     |
| Volume quote                | 55597.6    |
+-----------------------------+------------+
