+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | BTCUSDT    |
| Passivbot mode              | clock      |
| No. days                    | 1100.0     |
| Starting balance            | 1000.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.127%     |
| Final balance               | 1428.46    |
| Final equity                | 1428.46    |
| Net PNL + fees              | 428.463    |
| Total gain                  | 44.38%     |
| Average daily gain          | 0.0316%    |
| Net PNL + fees              | 428.463    |
| Loss to profit ratio        | 0.2032     |
| Price action distance mean  | 0.0148616  |
| Price action distance std   | 0.0182892  |
| Price action distance max   | 0.268347   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9469     |
| Equity/balance ratio std    | 0.003104   |
| No. fills                   | 4027       |
| No. entries                 | 2240       |
| No. closes                  | 1787       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 2240       |
| No. unstuck/EMA closes      | 370        |
| No. normal closes           | 1417       |
| Average n fills per day     | 3.57       |
| Mean hours stuck            | 6.716      |
| Max hours stuck             | 76.3833    |
| PNL sum                     | 443.8      |
| Profit sum                  | 557.0      |
| Loss sum                    | -113.2     |
| Fee sum                     | -15.35     |
| Volume quote                | 200682.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.193%     |
| Final balance               | 1242.97    |
| Final equity                | 1242.81    |
| Net PNL + fees              | 242.974    |
| Total gain                  | 71.58%     |
| Average daily gain          | 0.0193%    |
| Net PNL + fees              | 242.974    |
| Loss to profit ratio        | 0.6321     |
| Price action distance mean  | 0.00528593 |
| Price action distance std   | 0.00763216 |
| Price action distance max   | 0.102815   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9923     |
| Equity/balance ratio std    | 0.0002649  |
| No. fills                   | 157049     |
| No. entries                 | 78531      |
| No. closes                  | 78518      |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 78531      |
| No. unstuck/EMA closes      | 78315      |
| No. normal closes           | 203        |
| Average n fills per day     | 139.0      |
| Mean hours stuck            | 0.172219   |
| Max hours stuck             | 21.95      |
| PNL sum                     | 715.8      |
| Profit sum                  | 1946.0     |
| Loss sum                    | -1230.0    |
| Fee sum                     | -472.9     |
| Volume quote                | 2372160.0  |
+-----------------------------+------------+
