+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | EOSUSDT    |
| Passivbot mode              | clock      |
| No. days                    | 1100.0     |
| Starting balance            | 1000.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.218%     |
| Final balance               | 1840.04    |
| Final equity                | 1840.05    |
| Net PNL + fees              | 840.035    |
| Total gain                  | 85.67%     |
| Average daily gain          | 0.0545%    |
| Net PNL + fees              | 840.035    |
| Loss to profit ratio        | 0.1892     |
| Price action distance mean  | 0.00692028 |
| Price action distance std   | 0.00806571 |
| Price action distance max   | 0.336191   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9371     |
| Equity/balance ratio std    | 0.0008331  |
| No. fills                   | 10199      |
| No. entries                 | 6311       |
| No. closes                  | 3888       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 6311       |
| No. unstuck/EMA closes      | 3739       |
| No. normal closes           | 149        |
| Average n fills per day     | 9.11       |
| Mean hours stuck            | 2.63428    |
| Max hours stuck             | 70.15      |
| PNL sum                     | 856.7      |
| Profit sum                  | 1057.0     |
| Loss sum                    | -199.9     |
| Fee sum                     | -16.63     |
| Volume quote                | 160439.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.154%     |
| Final balance               | 1188.09    |
| Final equity                | 1188.09    |
| Net PNL + fees              | 188.086    |
| Total gain                  | 19.15%     |
| Average daily gain          | 0.0154%    |
| Net PNL + fees              | 188.086    |
| Loss to profit ratio        | 0.05457    |
| Price action distance mean  | 0.00982951 |
| Price action distance std   | 0.0172188  |
| Price action distance max   | 0.227885   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9706     |
| Equity/balance ratio std    | 0.001336   |
| No. fills                   | 15176      |
| No. entries                 | 6914       |
| No. closes                  | 8262       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 6914       |
| No. unstuck/EMA closes      | 7653       |
| No. normal closes           | 609        |
| Average n fills per day     | 13.6       |
| Mean hours stuck            | 1.77063    |
| Max hours stuck             | 78.4333    |
| PNL sum                     | 191.5      |
| Profit sum                  | 202.6      |
| Loss sum                    | -11.05     |
| Fee sum                     | -3.432     |
| Volume quote                | 168226.0   |
+-----------------------------+------------+
