+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | GMTUSDT    |
| Passivbot mode              | clock      |
| No. days                    | 320.0      |
| Starting balance            | 1000.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.377%     |
| Final balance               | 1355.3     |
| Final equity                | 1355.3     |
| Net PNL + fees              | 355.305    |
| Total gain                  | 35.97%     |
| Average daily gain          | 0.0942%    |
| Net PNL + fees              | 355.305    |
| Loss to profit ratio        | 0.07512    |
| Price action distance mean  | 0.0075356  |
| Price action distance std   | 0.00809486 |
| Price action distance max   | 0.118232   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9735     |
| Equity/balance ratio std    | 0.000543   |
| No. fills                   | 5145       |
| No. entries                 | 2717       |
| No. closes                  | 2428       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 2717       |
| No. unstuck/EMA closes      | 2347       |
| No. normal closes           | 81         |
| Average n fills per day     | 15.9       |
| Mean hours stuck            | 1.5059     |
| Max hours stuck             | 80.2       |
| PNL sum                     | 359.7      |
| Profit sum                  | 388.9      |
| Loss sum                    | -29.22     |
| Fee sum                     | -4.416     |
| Volume quote                | 57108.3    |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.171%     |
| Final balance               | 1056.66    |
| Final equity                | 1056.66    |
| Net PNL + fees              | 56.6611    |
| Total gain                  | 5.847%     |
| Average daily gain          | 0.0171%    |
| Net PNL + fees              | 56.6611    |
| Loss to profit ratio        | 0.1867     |
| Price action distance mean  | 0.0100946  |
| Price action distance std   | 0.00923856 |
| Price action distance max   | 0.0924362  |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9899     |
| Equity/balance ratio std    | 0.0001856  |
| No. fills                   | 6196       |
| No. entries                 | 3401       |
| No. closes                  | 2795       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 3401       |
| No. unstuck/EMA closes      | 2787       |
| No. normal closes           | 8          |
| Average n fills per day     | 19.2       |
| Mean hours stuck            | 1.25049    |
| Max hours stuck             | 67.05      |
| PNL sum                     | 58.47      |
| Profit sum                  | 71.89      |
| Loss sum                    | -13.42     |
| Fee sum                     | -1.808     |
| Volume quote                | 16224.7    |
+-----------------------------+------------+
