+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | TRXUSDT   |
| Passivbot mode              | clock     |
| No. days                    | 1100.0    |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.223%    |
| Final balance               | 1859.88   |
| Final equity                | 1859.86   |
| Net PNL + fees              | 859.877   |
| Total gain                  | 87.3%     |
| Average daily gain          | 0.0558%   |
| Net PNL + fees              | 859.877   |
| Loss to profit ratio        | 0.08774   |
| Price action distance mean  | 0.0117536 |
| Price action distance std   | 0.0184663 |
| Price action distance max   | 0.423067  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9257    |
| Equity/balance ratio std    | 0.004003  |
| No. fills                   | 27140     |
| No. entries                 | 8362      |
| No. closes                  | 18778     |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 8362      |
| No. unstuck/EMA closes      | 18658     |
| No. normal closes           | 120       |
| Average n fills per day     | 24.4      |
| Mean hours stuck            | 0.98386   |
| Max hours stuck             | 8.4       |
| PNL sum                     | 873.0     |
| Profit sum                  | 957.0     |
| Loss sum                    | -83.97    |
| Fee sum                     | -13.15    |
| Volume quote                | 1504950.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.13%     |
| Final balance               | 1156.19   |
| Final equity                | 1148.05   |
| Net PNL + fees              | 156.192   |
| Total gain                  | 15.9%     |
| Average daily gain          | 0.013%    |
| Net PNL + fees              | 156.192   |
| Loss to profit ratio        | 0.1444    |
| Price action distance mean  | 0.0146439 |
| Price action distance std   | 0.0197769 |
| Price action distance max   | 0.369979  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9413    |
| Equity/balance ratio std    | 0.002306  |
| No. fills                   | 15441     |
| No. entries                 | 7383      |
| No. closes                  | 8058      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 7383      |
| No. unstuck/EMA closes      | 7636      |
| No. normal closes           | 422       |
| Average n fills per day     | 13.9      |
| Mean hours stuck            | 1.7293    |
| Max hours stuck             | 20.6333   |
| PNL sum                     | 159.0     |
| Profit sum                  | 185.9     |
| Loss sum                    | -26.83    |
| Fee sum                     | -2.846    |
| Volume quote                | 158114.0  |
+-----------------------------+-----------+
