+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | BTCUSDT    |
| Passivbot mode              | clock      |
| No. days                    | 1100.0     |
| Starting balance            | 1000.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.156%     |
| Final balance               | 1551.96    |
| Final equity                | 1552.01    |
| Net PNL + fees              | 551.965    |
| Total gain                  | 59.75%     |
| Average daily gain          | 0.039%     |
| Net PNL + fees              | 551.965    |
| Loss to profit ratio        | 0.4385     |
| Price action distance mean  | 0.0055728  |
| Price action distance std   | 0.00775044 |
| Price action distance max   | 0.318424   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9401     |
| Equity/balance ratio std    | 0.0008597  |
| No. fills                   | 11512      |
| No. entries                 | 6156       |
| No. closes                  | 5356       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 6156       |
| No. unstuck/EMA closes      | 5207       |
| No. normal closes           | 149        |
| Average n fills per day     | 10.2       |
| Mean hours stuck            | 2.34967    |
| Max hours stuck             | 109.983    |
| PNL sum                     | 597.5      |
| Profit sum                  | 1064.0     |
| Loss sum                    | -466.6     |
| Fee sum                     | -45.56     |
| Volume quote                | 285812.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.948%     |
| Final balance               | 2910.31    |
| Final equity                | 2910.33    |
| Net PNL + fees              | 1910.31    |
| Total gain                  | 234.2%     |
| Average daily gain          | 0.0948%    |
| Net PNL + fees              | 1910.31    |
| Loss to profit ratio        | 0.5141     |
| Price action distance mean  | 0.00312484 |
| Price action distance std   | 0.00290894 |
| Price action distance max   | 0.0846683  |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.992      |
| Equity/balance ratio std    | 0.0001745  |
| No. fills                   | 128041     |
| No. entries                 | 66969      |
| No. closes                  | 61072      |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 66969      |
| No. unstuck/EMA closes      | 58735      |
| No. normal closes           | 2337       |
| Average n fills per day     | 114.0      |
| Mean hours stuck            | 0.211238   |
| Max hours stuck             | 46.6833    |
| PNL sum                     | 2342.0     |
| Profit sum                  | 4819.0     |
| Loss sum                    | -2478.0    |
| Fee sum                     | -431.5     |
| Volume quote                | 2410490.0  |
+-----------------------------+------------+
