+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | ETHUSDT    |
| Passivbot mode              | clock      |
| No. days                    | 1100.0     |
| Starting balance            | 1000.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.246%     |
| Final balance               | 2002.02    |
| Final equity                | 2002.02    |
| Net PNL + fees              | 1002.02    |
| Total gain                  | 103.3%     |
| Average daily gain          | 0.0616%    |
| Net PNL + fees              | 1002.02    |
| Loss to profit ratio        | 0.1483     |
| Price action distance mean  | 0.00915741 |
| Price action distance std   | 0.0133606  |
| Price action distance max   | 0.324791   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.8961     |
| Equity/balance ratio std    | 0.0008363  |
| No. fills                   | 7366       |
| No. entries                 | 3890       |
| No. closes                  | 3476       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 3890       |
| No. unstuck/EMA closes      | 3324       |
| No. normal closes           | 152        |
| Average n fills per day     | 6.54       |
| Mean hours stuck            | 3.6666     |
| Max hours stuck             | 124.467    |
| PNL sum                     | 1033.0     |
| Profit sum                  | 1213.0     |
| Loss sum                    | -179.9     |
| Fee sum                     | -31.09     |
| Volume quote                | 212724.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.119%     |
| Final balance               | 1143.63    |
| Final equity                | 1143.52    |
| Net PNL + fees              | 143.626    |
| Total gain                  | 17.75%     |
| Average daily gain          | 0.0119%    |
| Net PNL + fees              | 143.626    |
| Loss to profit ratio        | 0.8196     |
| Price action distance mean  | 0.00862461 |
| Price action distance std   | 0.00972379 |
| Price action distance max   | 0.273054   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9639     |
| Equity/balance ratio std    | 0.0007105  |
| No. fills                   | 10977      |
| No. entries                 | 6091       |
| No. closes                  | 4886       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 6091       |
| No. unstuck/EMA closes      | 4881       |
| No. normal closes           | 5          |
| Average n fills per day     | 9.74       |
| Mean hours stuck            | 2.46404    |
| Max hours stuck             | 20.3333    |
| PNL sum                     | 177.5      |
| Profit sum                  | 983.8      |
| Loss sum                    | -806.3     |
| Fee sum                     | -33.87     |
| Volume quote                | 193131.0   |
+-----------------------------+------------+
