+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | KSMUSDT   |
| Passivbot mode              | clock     |
| No. days                    | 840.0     |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.263%    |
| Final balance               | 1736.28   |
| Final equity                | 1736.28   |
| Net PNL + fees              | 736.284   |
| Total gain                  | 75.22%    |
| Average daily gain          | 0.0657%   |
| Net PNL + fees              | 736.284   |
| Loss to profit ratio        | 0.2548    |
| Price action distance mean  | 0.0125276 |
| Price action distance std   | 0.0116838 |
| Price action distance max   | 0.218633  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9232    |
| Equity/balance ratio std    | 0.001192  |
| No. fills                   | 5305      |
| No. entries                 | 3211      |
| No. closes                  | 2094      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 3211      |
| No. unstuck/EMA closes      | 1940      |
| No. normal closes           | 154       |
| Average n fills per day     | 6.32      |
| Mean hours stuck            | 3.79888   |
| Max hours stuck             | 66.9167   |
| PNL sum                     | 752.2     |
| Profit sum                  | 1009.0    |
| Loss sum                    | -257.2    |
| Fee sum                     | -15.92    |
| Volume quote                | 158218.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.163%    |
| Final balance               | 1146.73   |
| Final equity                | 1146.73   |
| Net PNL + fees              | 146.734   |
| Total gain                  | 15.26%    |
| Average daily gain          | 0.0163%   |
| Net PNL + fees              | 146.734   |
| Loss to profit ratio        | 0.2508    |
| Price action distance mean  | 0.012546  |
| Price action distance std   | 0.0113283 |
| Price action distance max   | 0.101082  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9887    |
| Equity/balance ratio std    | 0.0004611 |
| No. fills                   | 8427      |
| No. entries                 | 4223      |
| No. closes                  | 4204      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 4223      |
| No. unstuck/EMA closes      | 4182      |
| No. normal closes           | 22        |
| Average n fills per day     | 10.0      |
| Mean hours stuck            | 2.39019   |
| Max hours stuck             | 121.267   |
| PNL sum                     | 152.6     |
| Profit sum                  | 203.6     |
| Loss sum                    | -51.08    |
| Fee sum                     | -5.829    |
| Volume quote                | 65862.3   |
+-----------------------------+-----------+
