+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | XMRUSDT   |
| Passivbot mode              | clock     |
| No. days                    | 1100.0    |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.179%    |
| Final balance               | 1631.37   |
| Final equity                | 1631.46   |
| Net PNL + fees              | 631.366   |
| Total gain                  | 64.73%    |
| Average daily gain          | 0.0448%   |
| Net PNL + fees              | 631.366   |
| Loss to profit ratio        | 0.225     |
| Price action distance mean  | 0.0120107 |
| Price action distance std   | 0.0187557 |
| Price action distance max   | 0.865599  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.884     |
| Equity/balance ratio std    | 0.002697  |
| No. fills                   | 6924      |
| No. entries                 | 4384      |
| No. closes                  | 2540      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 4384      |
| No. unstuck/EMA closes      | 46        |
| No. normal closes           | 2494      |
| Average n fills per day     | 6.33      |
| Mean hours stuck            | 3.78986   |
| Max hours stuck             | 50.05     |
| PNL sum                     | 647.3     |
| Profit sum                  | 835.2     |
| Loss sum                    | -187.9    |
| Fee sum                     | -15.97    |
| Volume quote                | 321911.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.245%    |
| Final balance               | 1306.6    |
| Final equity                | 1306.59   |
| Net PNL + fees              | 306.601   |
| Total gain                  | 31.3%     |
| Average daily gain          | 0.0245%   |
| Net PNL + fees              | 306.601   |
| Loss to profit ratio        | 0.2341    |
| Price action distance mean  | 0.0175385 |
| Price action distance std   | 0.0230793 |
| Price action distance max   | 0.18742   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9769    |
| Equity/balance ratio std    | 0.002081  |
| No. fills                   | 8832      |
| No. entries                 | 2712      |
| No. closes                  | 6120      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 2712      |
| No. unstuck/EMA closes      | 6089      |
| No. normal closes           | 31        |
| Average n fills per day     | 8.08      |
| Mean hours stuck            | 2.97184   |
| Max hours stuck             | 70.6      |
| PNL sum                     | 313.0     |
| Profit sum                  | 408.6     |
| Loss sum                    | -95.65    |
| Fee sum                     | -6.363    |
| Volume quote                | 246853.0  |
+-----------------------------+-----------+
