+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | BTCUSDT    |
| Passivbot mode              | clock      |
| No. days                    | 1100.0     |
| Starting balance            | 1000.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.101%     |
| Final balance               | 3127.7     |
| Final equity                | 3127.7     |
| Net PNL + fees              | 2127.7     |
| Total gain                  | 326.4%     |
| Average daily gain          | 0.101%     |
| Net PNL + fees              | 2127.7     |
| Loss to profit ratio        | 0.8315     |
| Price action distance mean  | 0.00727674 |
| Price action distance std   | 0.00868471 |
| Price action distance max   | 0.188573   |
| Closest bankruptcy          | 99.06%     |
| Lowest equity/balance ratio | 0.8412     |
| Equity/balance ratio std    | 0.002524   |
| No. fills                   | 9160       |
| No. entries                 | 4778       |
| No. closes                  | 4382       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 4778       |
| No. unstuck/EMA closes      | 4342       |
| No. normal closes           | 40         |
| Average n fills per day     | 8.13       |
| Mean hours stuck            | 2.94841    |
| Max hours stuck             | 310.65     |
| PNL sum                     | 3264.0     |
| Profit sum                  | 19370.0    |
| Loss sum                    | -16110.0   |
| Fee sum                     | -1137.0    |
| Volume quote                | 6214940.0  |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | -0.191%    |
| Final balance               | 115.943    |
| Final equity                | 115.082    |
| Net PNL + fees              | -884.057   |
| Total gain                  | -58.48%    |
| Average daily gain          | -0.191%    |
| Net PNL + fees              | -884.057   |
| Loss to profit ratio        | 1.067      |
| Price action distance mean  | 0.0132052  |
| Price action distance std   | 0.0145312  |
| Price action distance max   | 0.138875   |
| Closest bankruptcy          | 67.6%      |
| Lowest equity/balance ratio | 0.8488     |
| Equity/balance ratio std    | 0.01677    |
| No. fills                   | 17178      |
| No. entries                 | 11318      |
| No. closes                  | 5860       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 11318      |
| No. unstuck/EMA closes      | 5859       |
| No. normal closes           | 1          |
| Average n fills per day     | 15.2       |
| Mean hours stuck            | 1.57451    |
| Max hours stuck             | 310.517    |
| PNL sum                     | -584.8     |
| Profit sum                  | 8779.0     |
| Loss sum                    | -9363.0    |
| Fee sum                     | -299.2     |
| Volume quote                | 2220250.0  |
+-----------------------------+------------+
