+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | ETHUSDT   |
| Passivbot mode              | clock     |
| No. days                    | 1100.0    |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.16%     |
| Final balance               | 1570.24   |
| Final equity                | 1570.25   |
| Net PNL + fees              | 570.239   |
| Total gain                  | 58.32%    |
| Average daily gain          | 0.04%     |
| Net PNL + fees              | 570.239   |
| Loss to profit ratio        | 0.2328    |
| Price action distance mean  | 0.011702  |
| Price action distance std   | 0.0119719 |
| Price action distance max   | 0.389403  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9144    |
| Equity/balance ratio std    | 0.001311  |
| No. fills                   | 5618      |
| No. entries                 | 3057      |
| No. closes                  | 2561      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 3057      |
| No. unstuck/EMA closes      | 2422      |
| No. normal closes           | 139       |
| Average n fills per day     | 4.98      |
| Mean hours stuck            | 4.81476   |
| Max hours stuck             | 43.5      |
| PNL sum                     | 583.2     |
| Profit sum                  | 760.2     |
| Loss sum                    | -177.0    |
| Fee sum                     | -12.95    |
| Volume quote                | 151762.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.109%    |
| Final balance               | 1130.41   |
| Final equity                | 1130.3    |
| Net PNL + fees              | 130.412   |
| Total gain                  | 14.72%    |
| Average daily gain          | 0.0109%   |
| Net PNL + fees              | 130.412   |
| Loss to profit ratio        | 0.8151    |
| Price action distance mean  | 0.0104017 |
| Price action distance std   | 0.0103406 |
| Price action distance max   | 0.171169  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9791    |
| Equity/balance ratio std    | 0.0006844 |
| No. fills                   | 9318      |
| No. entries                 | 4663      |
| No. closes                  | 4655      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 4663      |
| No. unstuck/EMA closes      | 4624      |
| No. normal closes           | 31        |
| Average n fills per day     | 8.27      |
| Mean hours stuck            | 2.90279   |
| Max hours stuck             | 7.01667   |
| PNL sum                     | 147.2     |
| Profit sum                  | 796.1     |
| Loss sum                    | -649.0    |
| Fee sum                     | -16.76    |
| Volume quote                | 129154.0  |
+-----------------------------+-----------+
