+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | DOGEUSDT  |
| Passivbot mode              | clock     |
| No. days                    | 940.0     |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.567%    |
| Final balance               | 3760.63   |
| Final equity                | 3760.63   |
| Net PNL + fees              | 2760.63   |
| Total gain                  | 290.2%    |
| Average daily gain          | 0.142%    |
| Net PNL + fees              | 2760.63   |
| Loss to profit ratio        | 0.3941    |
| Price action distance mean  | 0.0267009 |
| Price action distance std   | 0.0353271 |
| Price action distance max   | 0.448736  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9376    |
| Equity/balance ratio std    | 0.0036    |
| No. fills                   | 6481      |
| No. entries                 | 2197      |
| No. closes                  | 4284      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 2197      |
| No. unstuck/EMA closes      | 4276      |
| No. normal closes           | 8         |
| Average n fills per day     | 6.93      |
| Mean hours stuck            | 3.46155   |
| Max hours stuck             | 81.2167   |
| PNL sum                     | 2902.0    |
| Profit sum                  | 4790.0    |
| Loss sum                    | -1888.0   |
| Fee sum                     | -141.7    |
| Volume quote                | 757838.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.197%    |
| Final balance               | 1202.89   |
| Final equity                | 1202.31   |
| Net PNL + fees              | 202.893   |
| Total gain                  | 29.94%    |
| Average daily gain          | 0.0197%   |
| Net PNL + fees              | 202.893   |
| Loss to profit ratio        | 0.8687    |
| Price action distance mean  | 0.012372  |
| Price action distance std   | 0.0220997 |
| Price action distance max   | 0.378607  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9441    |
| Equity/balance ratio std    | 0.001435  |
| No. fills                   | 16459     |
| No. entries                 | 8521      |
| No. closes                  | 7938      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 8521      |
| No. unstuck/EMA closes      | 7923      |
| No. normal closes           | 15        |
| Average n fills per day     | 17.6      |
| Mean hours stuck            | 1.36428   |
| Max hours stuck             | 76.0667   |
| PNL sum                     | 299.4     |
| Profit sum                  | 2280.0    |
| Loss sum                    | -1980.0   |
| Fee sum                     | -96.5     |
| Volume quote                | 518123.0  |
+-----------------------------+-----------+
