+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | ETHUSDT    |
| Passivbot mode              | clock      |
| No. days                    | 1100.0     |
| Starting balance            | 1000.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.0746%    |
| Final balance               | 1233.9     |
| Final equity                | 1233.89    |
| Net PNL + fees              | 233.897    |
| Total gain                  | 26.69%     |
| Average daily gain          | 0.0187%    |
| Net PNL + fees              | 233.897    |
| Loss to profit ratio        | 0.6905     |
| Price action distance mean  | 0.00889018 |
| Price action distance std   | 0.0229368  |
| Price action distance max   | 0.950362   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.8784     |
| Equity/balance ratio std    | 0.00292    |
| No. fills                   | 12415      |
| No. entries                 | 6657       |
| No. closes                  | 5758       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 6657       |
| No. unstuck/EMA closes      | 5595       |
| No. normal closes           | 163        |
| Average n fills per day     | 11.0       |
| Mean hours stuck            | 2.17875    |
| Max hours stuck             | 142.233    |
| PNL sum                     | 266.9      |
| Profit sum                  | 862.2      |
| Loss sum                    | -595.3     |
| Fee sum                     | -32.97     |
| Volume quote                | 211692.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.0126%    |
| Final balance               | 1014.25    |
| Final equity                | 1014.14    |
| Net PNL + fees              | 14.2509    |
| Total gain                  | 4.907%     |
| Average daily gain          | 0.00126%   |
| Net PNL + fees              | 14.2509    |
| Loss to profit ratio        | 0.9551     |
| Price action distance mean  | 0.00661604 |
| Price action distance std   | 0.00659884 |
| Price action distance max   | 0.0976862  |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9891     |
| Equity/balance ratio std    | 0.0005884  |
| No. fills                   | 14829      |
| No. entries                 | 9277       |
| No. closes                  | 5552       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 9277       |
| No. unstuck/EMA closes      | 5552       |
| No. normal closes           | 0          |
| Average n fills per day     | 13.2       |
| Mean hours stuck            | 1.82393    |
| Max hours stuck             | 32.85      |
| PNL sum                     | 49.07      |
| Profit sum                  | 1092.0     |
| Loss sum                    | -1043.0    |
| Fee sum                     | -34.82     |
| Volume quote                | 260629.0   |
+-----------------------------+------------+
