+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | BTCUSDT    |
| Passivbot mode              | clock      |
| No. days                    | 1100.0     |
| Starting balance            | 1000.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.154%     |
| Final balance               | 1543.17    |
| Final equity                | 1543.17    |
| Net PNL + fees              | 543.171    |
| Total gain                  | 58.71%     |
| Average daily gain          | 0.0385%    |
| Net PNL + fees              | 543.171    |
| Loss to profit ratio        | 0.4446     |
| Price action distance mean  | 0.00553293 |
| Price action distance std   | 0.00749488 |
| Price action distance max   | 0.272194   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9469     |
| Equity/balance ratio std    | 0.0008308  |
| No. fills                   | 11439      |
| No. entries                 | 6064       |
| No. closes                  | 5375       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 6064       |
| No. unstuck/EMA closes      | 5191       |
| No. normal closes           | 184        |
| Average n fills per day     | 10.1       |
| Mean hours stuck            | 2.36465    |
| Max hours stuck             | 109.983    |
| PNL sum                     | 587.1      |
| Profit sum                  | 1057.0     |
| Loss sum                    | -469.9     |
| Fee sum                     | -43.9      |
| Volume quote                | 274306.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.0877%    |
| Final balance               | 1103.88    |
| Final equity                | 1103.63    |
| Net PNL + fees              | 103.882    |
| Total gain                  | 15.12%     |
| Average daily gain          | 0.00877%   |
| Net PNL + fees              | 103.882    |
| Loss to profit ratio        | 0.8843     |
| Price action distance mean  | 0.00562414 |
| Price action distance std   | 0.00654752 |
| Price action distance max   | 0.126053   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9859     |
| Equity/balance ratio std    | 0.0006608  |
| No. fills                   | 12732      |
| No. entries                 | 7699       |
| No. closes                  | 5033       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 7699       |
| No. unstuck/EMA closes      | 5033       |
| No. normal closes           | 0          |
| Average n fills per day     | 11.3       |
| Mean hours stuck            | 2.12439    |
| Max hours stuck             | 23.35      |
| PNL sum                     | 151.2      |
| Profit sum                  | 1307.0     |
| Loss sum                    | -1155.0    |
| Fee sum                     | -47.28     |
| Volume quote                | 326598.0   |
+-----------------------------+------------+
