+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | COMPUSDT  |
| Passivbot mode              | clock     |
| No. days                    | 950.0     |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.203%    |
| Final balance               | 1615.07   |
| Final equity                | 1615.05   |
| Net PNL + fees              | 615.071   |
| Total gain                  | 62.51%    |
| Average daily gain          | 0.0507%   |
| Net PNL + fees              | 615.071   |
| Loss to profit ratio        | 0.116     |
| Price action distance mean  | 0.0102327 |
| Price action distance std   | 0.0124855 |
| Price action distance max   | 0.352365  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9344    |
| Equity/balance ratio std    | 0.001632  |
| No. fills                   | 13870     |
| No. entries                 | 6210      |
| No. closes                  | 7660      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 6210      |
| No. unstuck/EMA closes      | 7584      |
| No. normal closes           | 76        |
| Average n fills per day     | 14.7      |
| Mean hours stuck            | 1.63617   |
| Max hours stuck             | 78.4167   |
| PNL sum                     | 625.1     |
| Profit sum                  | 707.1     |
| Loss sum                    | -82.06    |
| Fee sum                     | -9.988    |
| Volume quote                | 350762.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.241%    |
| Final balance               | 1255.93   |
| Final equity                | 1255.93   |
| Net PNL + fees              | 255.935   |
| Total gain                  | 26.15%    |
| Average daily gain          | 0.0241%   |
| Net PNL + fees              | 255.935   |
| Loss to profit ratio        | 0.1736    |
| Price action distance mean  | 0.0146978 |
| Price action distance std   | 0.0188119 |
| Price action distance max   | 0.166993  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9799    |
| Equity/balance ratio std    | 0.001491  |
| No. fills                   | 13581     |
| No. entries                 | 5274      |
| No. closes                  | 8307      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 5274      |
| No. unstuck/EMA closes      | 7910      |
| No. normal closes           | 397       |
| Average n fills per day     | 14.4      |
| Mean hours stuck            | 1.66921   |
| Max hours stuck             | 89.8833   |
| PNL sum                     | 261.5     |
| Profit sum                  | 316.4     |
| Loss sum                    | -54.91    |
| Fee sum                     | -5.517    |
| Volume quote                | 193690.0  |
+-----------------------------+-----------+
