+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | DOGEUSDT   |
| Passivbot mode              | clock      |
| No. days                    | 940.0      |
| Starting balance            | 1000.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.706%     |
| Final balance               | 5209.89    |
| Final equity                | 5209.9     |
| Net PNL + fees              | 4209.89    |
| Total gain                  | 428.7%     |
| Average daily gain          | 0.177%     |
| Net PNL + fees              | 4209.89    |
| Loss to profit ratio        | 0.1865     |
| Price action distance mean  | 0.00696039 |
| Price action distance std   | 0.00990389 |
| Price action distance max   | 0.4448     |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.923      |
| Equity/balance ratio std    | 0.001897   |
| No. fills                   | 25669      |
| No. entries                 | 13329      |
| No. closes                  | 12340      |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 13329      |
| No. unstuck/EMA closes      | 11173      |
| No. normal closes           | 1167       |
| Average n fills per day     | 27.4       |
| Mean hours stuck            | 0.874819   |
| Max hours stuck             | 9.1        |
| PNL sum                     | 4287.0     |
| Profit sum                  | 5270.0     |
| Loss sum                    | -982.6     |
| Fee sum                     | -77.56     |
| Volume quote                | 1234160.0  |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.122%     |
| Final balance               | 1121.18    |
| Final equity                | 1121.15    |
| Net PNL + fees              | 121.177    |
| Total gain                  | 12.29%     |
| Average daily gain          | 0.0122%    |
| Net PNL + fees              | 121.177    |
| Loss to profit ratio        | 0.1097     |
| Price action distance mean  | 0.010649   |
| Price action distance std   | 0.0137141  |
| Price action distance max   | 0.354242   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9451     |
| Equity/balance ratio std    | 0.0006362  |
| No. fills                   | 10788      |
| No. entries                 | 5323       |
| No. closes                  | 5465       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 5323       |
| No. unstuck/EMA closes      | 5426       |
| No. normal closes           | 39         |
| Average n fills per day     | 11.5       |
| Mean hours stuck            | 2.08128    |
| Max hours stuck             | 75.4167    |
| PNL sum                     | 122.9      |
| Profit sum                  | 138.1      |
| Loss sum                    | -15.14     |
| Fee sum                     | -1.74      |
| Volume quote                | 28720.3    |
+-----------------------------+------------+
