+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | MATICUSDT  |
| Passivbot mode              | clock      |
| No. days                    | 830.0      |
| Starting balance            | 1000.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.496%     |
| Final balance               | 2804.91    |
| Final equity                | 2804.92    |
| Net PNL + fees              | 1804.91    |
| Total gain                  | 184.4%     |
| Average daily gain          | 0.124%     |
| Net PNL + fees              | 1804.91    |
| Loss to profit ratio        | 0.2299     |
| Price action distance mean  | 0.00944914 |
| Price action distance std   | 0.0114492  |
| Price action distance max   | 0.283175   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9448     |
| Equity/balance ratio std    | 0.002121   |
| No. fills                   | 26873      |
| No. entries                 | 13075      |
| No. closes                  | 13798      |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 13075      |
| No. unstuck/EMA closes      | 13541      |
| No. normal closes           | 257        |
| Average n fills per day     | 32.3       |
| Mean hours stuck            | 0.742773   |
| Max hours stuck             | 11.0667    |
| PNL sum                     | 1844.0     |
| Profit sum                  | 2394.0     |
| Loss sum                    | -550.4     |
| Fee sum                     | -38.62     |
| Volume quote                | 631388.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.158%     |
| Final balance               | 1140.67    |
| Final equity                | 1140.67    |
| Net PNL + fees              | 140.672    |
| Total gain                  | 14.57%     |
| Average daily gain          | 0.0158%    |
| Net PNL + fees              | 140.672    |
| Loss to profit ratio        | 0.2464     |
| Price action distance mean  | 0.00893663 |
| Price action distance std   | 0.00900372 |
| Price action distance max   | 0.108459   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9878     |
| Equity/balance ratio std    | 0.0002784  |
| No. fills                   | 13811      |
| No. entries                 | 7664       |
| No. closes                  | 6147       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 7664       |
| No. unstuck/EMA closes      | 6142       |
| No. normal closes           | 5          |
| Average n fills per day     | 16.6       |
| Mean hours stuck            | 1.44532    |
| Max hours stuck             | 95.7833    |
| PNL sum                     | 145.7      |
| Profit sum                  | 193.3      |
| Loss sum                    | -47.64     |
| Fee sum                     | -5.037     |
| Volume quote                | 47204.5    |
+-----------------------------+------------+
