+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | XMRUSDT    |
| Passivbot mode              | clock      |
| No. days                    | 1100.0     |
| Starting balance            | 1000.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | -0.09%     |
| Final balance               | 781.758    |
| Final equity                | 781.758    |
| Net PNL + fees              | -218.242   |
| Total gain                  | -13.72%    |
| Average daily gain          | -0.0225%   |
| Net PNL + fees              | -218.242   |
| Loss to profit ratio        | 1.199      |
| Price action distance mean  | 0.00570197 |
| Price action distance std   | 0.00720843 |
| Price action distance max   | 0.0580864  |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9763     |
| Equity/balance ratio std    | 0.0001367  |
| No. fills                   | 17184      |
| No. entries                 | 8929       |
| No. closes                  | 8255       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 8929       |
| No. unstuck/EMA closes      | 8237       |
| No. normal closes           | 18         |
| Average n fills per day     | 15.7       |
| Mean hours stuck            | 1.52693    |
| Max hours stuck             | 275.9      |
| PNL sum                     | -137.2     |
| Profit sum                  | 689.3      |
| Loss sum                    | -826.5     |
| Fee sum                     | -81.05     |
| Volume quote                | 457516.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | -0.0173%   |
| Final balance               | 981.232    |
| Final equity                | 981.232    |
| Net PNL + fees              | -18.7685   |
| Total gain                  | 3.309%     |
| Average daily gain          | -0.00173%  |
| Net PNL + fees              | -18.7685   |
| Loss to profit ratio        | 0.9569     |
| Price action distance mean  | 0.00537935 |
| Price action distance std   | 0.00545083 |
| Price action distance max   | 0.0628079  |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9933     |
| Equity/balance ratio std    | 0.0001302  |
| No. fills                   | 24153      |
| No. entries                 | 12290      |
| No. closes                  | 11863      |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 12290      |
| No. unstuck/EMA closes      | 11852      |
| No. normal closes           | 11         |
| Average n fills per day     | 22.1       |
| Mean hours stuck            | 1.08672    |
| Max hours stuck             | 109.5      |
| PNL sum                     | 33.09      |
| Profit sum                  | 767.4      |
| Loss sum                    | -734.3     |
| Fee sum                     | -51.86     |
| Volume quote                | 268588.0   |
+-----------------------------+------------+
