+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | bybit      |
| Market type                 | futures    |
| Symbol                      | XRPUSDT    |
| Passivbot mode              | clock      |
| No. days                    | 1100.0     |
| Starting balance            | 1000.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.398%     |
| Final balance               | 3048.36    |
| Final equity                | 3048.26    |
| Net PNL + fees              | 2048.36    |
| Total gain                  | 209.7%     |
| Average daily gain          | 0.0994%    |
| Net PNL + fees              | 2048.36    |
| Loss to profit ratio        | 0.1768     |
| Price action distance mean  | 0.00585362 |
| Price action distance std   | 0.00651302 |
| Price action distance max   | 0.227765   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.9536     |
| Equity/balance ratio std    | 0.0009721  |
| No. fills                   | 26757      |
| No. entries                 | 16213      |
| No. closes                  | 10544      |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 16213      |
| No. unstuck/EMA closes      | 10403      |
| No. normal closes           | 141        |
| Average n fills per day     | 23.9       |
| Mean hours stuck            | 1.00593    |
| Max hours stuck             | 7.53333    |
| PNL sum                     | 2097.0     |
| Profit sum                  | 2547.0     |
| Loss sum                    | -450.3     |
| Fee sum                     | -48.38     |
| Volume quote                | 389813.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | 0.143%     |
| Final balance               | 1173.56    |
| Final equity                | 1173.57    |
| Net PNL + fees              | 173.561    |
| Total gain                  | 17.88%     |
| Average daily gain          | 0.0143%    |
| Net PNL + fees              | 173.561    |
| Loss to profit ratio        | 0.1733     |
| Price action distance mean  | 0.00520399 |
| Price action distance std   | 0.00575746 |
| Price action distance max   | 0.159845   |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.981      |
| Equity/balance ratio std    | 0.0002493  |
| No. fills                   | 15452      |
| No. entries                 | 10287      |
| No. closes                  | 5165       |
| No. initial entries         | 0          |
| No. reentries               | 0          |
| No. unstuck/EMA entries     | 10287      |
| No. unstuck/EMA closes      | 5149       |
| No. normal closes           | 16         |
| Average n fills per day     | 13.8       |
| Mean hours stuck            | 1.74215    |
| Max hours stuck             | 91.1167    |
| PNL sum                     | 178.8      |
| Profit sum                  | 216.3      |
| Loss sum                    | -37.49     |
| Fee sum                     | -5.264     |
| Volume quote                | 80036.8    |
+-----------------------------+------------+
