+-------------------------------------------+
|                  Summary                  |
+-----------------------------+-------------+
| Metric                      | Value       |
+-----------------------------+-------------+
| Exchange                    | bybit       |
| Market type                 | futures     |
| Symbol                      | DOGEUSDT    |
| Passivbot mode              | clock       |
| No. days                    | 940.0       |
| Starting balance            | 1000.0      |
|                             |             |
| Long                        | True        |
| ADG realized per exposure   | 0.529%      |
| Final balance               | 139903.0    |
| Final equity                | 139903.0    |
| Net PNL + fees              | 138903.0    |
| Total gain                  | 15500.0%    |
| Average daily gain          | 0.529%      |
| Net PNL + fees              | 138903.0    |
| Loss to profit ratio        | 0.5767      |
| Price action distance mean  | 0.0173173   |
| Price action distance std   | 0.0266594   |
| Price action distance max   | 0.321828    |
| Closest bankruptcy          | 99.99%      |
| Lowest equity/balance ratio | 0.7565      |
| Equity/balance ratio std    | 0.004005    |
| No. fills                   | 12527       |
| No. entries                 | 4360        |
| No. closes                  | 8167        |
| No. initial entries         | 0           |
| No. reentries               | 0           |
| No. unstuck/EMA entries     | 4360        |
| No. unstuck/EMA closes      | 2993        |
| No. normal closes           | 5174        |
| Average n fills per day     | 13.4        |
| Mean hours stuck            | 1.79245     |
| Max hours stuck             | 599.833     |
| PNL sum                     | 155000.0    |
| Profit sum                  | 366100.0    |
| Loss sum                    | -211100.0   |
| Fee sum                     | -16090.0    |
| Volume quote                | 137330000.0 |
|                             |             |
| Short                       | True        |
| ADG realized per exposure   | -1.06%      |
| Final balance               | 0.0476668   |
| Final equity                | -0.0160642  |
| Net PNL + fees              | -999.952    |
| Total gain                  | -77.19%     |
| Average daily gain          | -1.06%      |
| Net PNL + fees              | -999.952    |
| Loss to profit ratio        | 1.238       |
| Price action distance mean  | 0.544983    |
| Price action distance std   | 0.320232    |
| Price action distance max   | 0.955592    |
| Closest bankruptcy          | 0.005257%   |
| Lowest equity/balance ratio | -13.64      |
| Equity/balance ratio std    | 2.193       |
| No. fills                   | 16421       |
| No. entries                 | 10750       |
| No. closes                  | 5671        |
| No. initial entries         | 0           |
| No. reentries               | 0           |
| No. unstuck/EMA entries     | 10750       |
| No. unstuck/EMA closes      | 5671        |
| No. normal closes           | 0           |
| Average n fills per day     | 17.6        |
| Mean hours stuck            | 0.296156    |
| Max hours stuck             | 1.23333     |
| PNL sum                     | -771.9      |
| Profit sum                  | 3249.0      |
| Loss sum                    | -4021.0     |
| Fee sum                     | -228.1      |
| Volume quote                | 1708820.0   |
+-----------------------------+-------------+
