+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | ADAUSDT   |
| Passivbot mode              | clock     |
| No. days                    | 1100.0    |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.143%    |
| Final balance               | 1478.62   |
| Final equity                | 1478.62   |
| Net PNL + fees              | 478.618   |
| Total gain                  | 48.59%    |
| Average daily gain          | 0.0357%   |
| Net PNL + fees              | 478.618   |
| Loss to profit ratio        | 0.3806    |
| Price action distance mean  | 0.0125532 |
| Price action distance std   | 0.0204439 |
| Price action distance max   | 0.833085  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8864    |
| Equity/balance ratio std    | 0.003021  |
| No. fills                   | 4563      |
| No. entries                 | 3538      |
| No. closes                  | 1025      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 3538      |
| No. unstuck/EMA closes      | 780       |
| No. normal closes           | 245       |
| Average n fills per day     | 4.16      |
| Mean hours stuck            | 5.76634   |
| Max hours stuck             | 87.1      |
| PNL sum                     | 485.9     |
| Profit sum                  | 784.6     |
| Loss sum                    | -298.6    |
| Fee sum                     | -7.321    |
| Volume quote                | 186011.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -0.643%   |
| Final balance               | 493.922   |
| Final equity                | 484.619   |
| Net PNL + fees              | -506.078  |
| Total gain                  | -50.31%   |
| Average daily gain          | -0.0643%  |
| Net PNL + fees              | -506.078  |
| Loss to profit ratio        | 4.637     |
| Price action distance mean  | 0.159801  |
| Price action distance std   | 0.195494  |
| Price action distance max   | 0.759022  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.683     |
| Equity/balance ratio std    | 0.0477    |
| No. fills                   | 14574     |
| No. entries                 | 5725      |
| No. closes                  | 8849      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 5725      |
| No. unstuck/EMA closes      | 8655      |
| No. normal closes           | 194       |
| Average n fills per day     | 13.3      |
| Mean hours stuck            | 1.80567   |
| Max hours stuck             | 36.1167   |
| PNL sum                     | -503.1    |
| Profit sum                  | 138.3     |
| Loss sum                    | -641.4    |
| Fee sum                     | -3.008    |
| Volume quote                | 325429.0  |
+-----------------------------+-----------+
