+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | bybit     |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| Passivbot mode              | clock     |
| No. days                    | 860.0     |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.138%    |
| Final balance               | 1346.37   |
| Final equity                | 1346.37   |
| Net PNL + fees              | 346.367   |
| Total gain                  | 37.79%    |
| Average daily gain          | 0.0346%   |
| Net PNL + fees              | 346.367   |
| Loss to profit ratio        | 0.4414    |
| Price action distance mean  | 0.0106819 |
| Price action distance std   | 0.0117455 |
| Price action distance max   | 0.0685524 |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9686    |
| Equity/balance ratio std    | 6.301e-05 |
| No. fills                   | 5003      |
| No. entries                 | 2572      |
| No. closes                  | 2431      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 2572      |
| No. unstuck/EMA closes      | 2416      |
| No. normal closes           | 15        |
| Average n fills per day     | 5.81      |
| Mean hours stuck            | 4.12398   |
| Max hours stuck             | 332.0     |
| PNL sum                     | 377.9     |
| Profit sum                  | 676.5     |
| Loss sum                    | -298.6    |
| Fee sum                     | -31.53    |
| Volume quote                | 175984.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.114%    |
| Final balance               | 1103.02   |
| Final equity                | 1103.15   |
| Net PNL + fees              | 103.022   |
| Total gain                  | 17.08%    |
| Average daily gain          | 0.0114%   |
| Net PNL + fees              | 103.022   |
| Loss to profit ratio        | 0.9314    |
| Price action distance mean  | 0.0128151 |
| Price action distance std   | 0.0143429 |
| Price action distance max   | 0.129227  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9851    |
| Equity/balance ratio std    | 0.00161   |
| No. fills                   | 20659     |
| No. entries                 | 11104     |
| No. closes                  | 9555      |
| No. initial entries         | 0         |
| No. reentries               | 0         |
| No. unstuck/EMA entries     | 11104     |
| No. unstuck/EMA closes      | 9446      |
| No. normal closes           | 109       |
| Average n fills per day     | 24.0      |
| Mean hours stuck            | 0.999824  |
| Max hours stuck             | 89.9333   |
| PNL sum                     | 170.8     |
| Profit sum                  | 2488.0    |
| Loss sum                    | -2317.0   |
| Fee sum                     | -67.78    |
| Volume quote                | 385516.0  |
+-----------------------------+-----------+
